season_id,game_type_id,competition_id,group_id,category_base,category_label_raw,competition_label_raw,group_label_raw,has_calendario,has_clasificaciones,has_goleadores
21,2,24037796,24037799,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 3,True,True,True
21,2,24037796,25124235,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 4,True,True,True
21,2,24037796,24037800,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 5,True,True,True
21,2,24037796,24037801,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 6,True,True,True
21,2,24037796,24037802,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 7,True,True,True
21,2,24037796,24037803,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 8,True,True,True
21,2,24037796,24037805,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 9,True,True,True
21,2,24037796,24037855,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 10,True,True,True
21,2,24037796,24037866,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 11,True,True,True
21,2,24037796,24037815,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 12,True,True,True
21,2,24037796,24037818,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 13,True,True,True
21,2,24037796,24853131,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 14,True,True,True
21,2,24037796,24037809,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 15,True,True,True
21,2,24037796,24037808,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 16,True,True,True
21,2,24037796,24428135,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 17,True,True,True
21,2,24037796,24037812,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 18,True,True,True
21,2,24037796,24037810,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 19,True,True,True
21,2,24037796,24037811,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 20,True,True,True
21,2,24037796,24037813,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 21,True,True,True
21,2,24037796,24037804,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 22,True,True,True
21,2,24037796,24037867,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 23,True,True,True
21,2,24037796,24037814,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 24,True,True,True
21,2,24037796,24037816,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 25,True,True,True
21,2,24037796,24037819,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 26,True,True,True
21,2,24037796,24125445,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 27,True,True,True
21,2,24037796,24037824,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 28,True,True,True
21,2,24037796,24037869,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 29,True,True,True
21,2,24037796,24037822,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 30,True,True,True
21,2,24037796,24037870,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 31,True,True,True
21,2,24037796,24037868,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 32,True,True,True
21,2,24037796,24037820,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 33,True,True,True
21,2,24037796,24037825,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 34,True,True,True
21,2,24037796,24037826,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 35,True,True,True
21,2,24037796,24037823,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 36,True,True,True
21,2,24037796,24037828,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 37,True,True,True
21,2,24037796,24037872,BENJAMIN,PRIMERA BENJAMIN F7,PRIMERA BENJAMÍN F-7,Grupo 38,True,True,True
