season,season_id,category,competition,competition_id,group,group_id,team,team_id,position,played,wins,draws,losses,goals_for,goals_against,goal_diff,points,sanction_points,source_url,scraped_at
2025-2026,21,OTHER,COPA RFEF FASE AUTONOMICA,24206667,GRUPO A,24206696,U.D. SAN SEBASTIAN DE LOS REYES S.A.D. 'A',407,1,3,1,2,0,5,2,3,5,0,https://www.rffm.es/competicion/clasificaciones?temporada=21&competicion=24206667&grupo=24206696&tipojuego=1,2026-08-02T23:46:21.923432+00:00
2025-2026,21,OTHER,COPA RFEF FASE AUTONOMICA,24206667,GRUPO A,24206696,A.D. UNION ADARVE 'A',1592,2,3,1,2,0,4,1,3,5,0,https://www.rffm.es/competicion/clasificaciones?temporada=21&competicion=24206667&grupo=24206696&tipojuego=1,2026-08-02T23:46:21.923432+00:00
2025-2026,21,OTHER,COPA RFEF FASE AUTONOMICA,24206667,GRUPO A,24206696,LAS ROZAS C.F. 'A',293,3,3,1,1,1,4,5,-1,4,0,https://www.rffm.es/competicion/clasificaciones?temporada=21&competicion=24206667&grupo=24206696&tipojuego=1,2026-08-02T23:46:21.923432+00:00
2025-2026,21,OTHER,COPA RFEF FASE AUTONOMICA,24206667,GRUPO A,24206696,MEXICO F.C. S.A.D. 'A',2002,4,3,0,1,2,1,6,-5,1,0,https://www.rffm.es/competicion/clasificaciones?temporada=21&competicion=24206667&grupo=24206696&tipojuego=1,2026-08-02T23:46:21.923432+00:00
2025-2026,21,OTHER,COPA RFEF FASE AUTONOMICA,24206667,GRUPO B,24206704,A.D. TORREJON C.F. 'A',2363,1,3,1,2,0,4,1,3,5,0,https://www.rffm.es/competicion/clasificaciones?temporada=21&competicion=24206667&grupo=24206704&tipojuego=1,2026-08-02T23:46:23.951031+00:00
2025-2026,21,OTHER,COPA RFEF FASE AUTONOMICA,24206667,GRUPO B,24206704,C.D. MOSTOLES U.R.J.C. 'A',2127,2,3,1,1,1,1,3,-2,4,0,https://www.rffm.es/competicion/clasificaciones?temporada=21&competicion=24206667&grupo=24206704&tipojuego=1,2026-08-02T23:46:23.951031+00:00
2025-2026,21,OTHER,COPA RFEF FASE AUTONOMICA,24206667,GRUPO B,24206704,S.A.D. VILLAVERDE SAN ANDRES 'A',6826481,3,3,0,3,0,0,0,0,3,0,https://www.rffm.es/competicion/clasificaciones?temporada=21&competicion=24206667&grupo=24206704&tipojuego=1,2026-08-02T23:46:23.951031+00:00
2025-2026,21,OTHER,COPA RFEF FASE AUTONOMICA,24206667,GRUPO B,24206704,A.D. PARLA,311,4,3,0,2,1,1,2,-1,2,0,https://www.rffm.es/competicion/clasificaciones?temporada=21&competicion=24206667&grupo=24206704&tipojuego=1,2026-08-02T23:46:23.951031+00:00
2025-2026,21,OTHER,TERCERA FEDERACION RFEF,24038099,GRUPO 7,24038100,CLUB ATLETICO DE MADRID S.A.D. 'C',24207083,1,34,18,10,6,81,46,35,64,0,https://www.rffm.es/competicion/clasificaciones?temporada=21&competicion=24038099&grupo=24038100&tipojuego=1,2026-08-02T23:46:35.361381+00:00
2025-2026,21,OTHER,TERCERA FEDERACION RFEF,24038099,GRUPO 7,24038100,C.F. TRIVAL VALDERAS ALCORCON,1563,2,34,18,6,10,50,36,14,60,0,https://www.rffm.es/competicion/clasificaciones?temporada=21&competicion=24038099&grupo=24038100&tipojuego=1,2026-08-02T23:46:35.361381+00:00
2025-2026,21,OTHER,TERCERA FEDERACION RFEF,24038099,GRUPO 7,24038100,A.D. TORREJON C.F. 'A',2363,3,34,17,9,8,57,46,11,60,0,https://www.rffm.es/competicion/clasificaciones?temporada=21&competicion=24038099&grupo=24038100&tipojuego=1,2026-08-02T23:46:35.361381+00:00
2025-2026,21,OTHER,TERCERA FEDERACION RFEF,24038099,GRUPO 7,24038100,LAS ROZAS C.F. 'A',293,4,34,16,8,10,58,42,16,56,0,https://www.rffm.es/competicion/clasificaciones?temporada=21&competicion=24038099&grupo=24038100&tipojuego=1,2026-08-02T23:46:35.361381+00:00
2025-2026,21,OTHER,TERCERA FEDERACION RFEF,24038099,GRUPO 7,24038100,C.D. LEGANES S.A.D. 'B',94,5,34,15,9,10,63,33,30,54,0,https://www.rffm.es/competicion/clasificaciones?temporada=21&competicion=24038099&grupo=24038100&tipojuego=1,2026-08-02T23:46:35.361381+00:00
2025-2026,21,OTHER,TERCERA FEDERACION RFEF,24038099,GRUPO 7,24038100,A.D. UNION ADARVE 'A',1592,6,34,15,8,11,48,40,8,53,0,https://www.rffm.es/competicion/clasificaciones?temporada=21&competicion=24038099&grupo=24038100&tipojuego=1,2026-08-02T23:46:35.361381+00:00
2025-2026,21,OTHER,TERCERA FEDERACION RFEF,24038099,GRUPO 7,24038100,C.D. MOSTOLES U.R.J.C. 'A',2127,7,34,14,9,11,51,45,6,51,0,https://www.rffm.es/competicion/clasificaciones?temporada=21&competicion=24038099&grupo=24038100&tipojuego=1,2026-08-02T23:46:35.361381+00:00
2025-2026,21,OTHER,TERCERA FEDERACION RFEF,24038099,GRUPO 7,24038100,U.D. SAN SEBASTIAN DE LOS REYES S.A.D. 'B',408,8,34,12,13,9,45,35,10,49,0,https://www.rffm.es/competicion/clasificaciones?temporada=21&competicion=24038099&grupo=24038100&tipojuego=1,2026-08-02T23:46:35.361381+00:00
