season,season_id,category,competition,competition_id,group,group_id,team,team_id,position,played,wins,draws,losses,goals_for,goals_against,goal_diff,points,sanction_points,source_url,scraped_at
2016-2017,12,OTHER,COPA REAL FEDERACION ESPAÑOLA DE FUTBOL,4993446,Grupo UNICO,5148235,C.F. FUENLABRADA S.A.D. 'A',2172,1,6,4,2,0,10,3,7,14,0,https://www.rffm.es/competicion/clasificaciones?temporada=12&competicion=4993446&grupo=5148235&tipojuego=1,2026-08-12T22:41:39.614989+00:00
2016-2017,12,OTHER,COPA REAL FEDERACION ESPAÑOLA DE FUTBOL,4993446,Grupo UNICO,5148235,FUTBOL ALCOBENDAS SPORT,2002,2,6,2,3,1,10,6,4,9,0,https://www.rffm.es/competicion/clasificaciones?temporada=12&competicion=4993446&grupo=5148235&tipojuego=1,2026-08-12T22:41:39.614989+00:00
2016-2017,12,OTHER,COPA REAL FEDERACION ESPAÑOLA DE FUTBOL,4993446,Grupo UNICO,5148235,SAD. C.F. INTERNAC.MADRID DEP. S.L.,1045,3,6,2,2,2,9,7,2,8,0,https://www.rffm.es/competicion/clasificaciones?temporada=12&competicion=4993446&grupo=5148235&tipojuego=1,2026-08-12T22:41:39.614989+00:00
2016-2017,12,OTHER,COPA REAL FEDERACION ESPAÑOLA DE FUTBOL,4993446,Grupo UNICO,5148235,ARAVACA C.F. 'A',106,4,6,0,1,5,4,17,-13,1,0,https://www.rffm.es/competicion/clasificaciones?temporada=12&competicion=4993446&grupo=5148235&tipojuego=1,2026-08-12T22:41:39.614989+00:00
2016-2017,12,OTHER,TERCERA DIVISION NACIONAL,4993445,Grupo 7,5066265,CLUB ATLETICO DE MADRID 'B',18,1,38,23,4,11,63,40,23,73,0,https://www.rffm.es/competicion/clasificaciones?temporada=12&competicion=4993445&grupo=5066265&tipojuego=1,2026-08-12T22:41:44.322971+00:00
2016-2017,12,OTHER,TERCERA DIVISION NACIONAL,4993445,Grupo 7,5066265,A.D. UNION ADARVE 'A',1592,2,38,19,9,10,55,41,14,66,0,https://www.rffm.es/competicion/clasificaciones?temporada=12&competicion=4993445&grupo=5066265&tipojuego=1,2026-08-12T22:41:44.322971+00:00
2016-2017,12,OTHER,TERCERA DIVISION NACIONAL,4993445,Grupo 7,5066265,FUTBOL ALCOBENDAS SPORT,2002,3,38,16,15,7,49,28,21,63,0,https://www.rffm.es/competicion/clasificaciones?temporada=12&competicion=4993445&grupo=5066265&tipojuego=1,2026-08-12T22:41:44.322971+00:00
2016-2017,12,OTHER,TERCERA DIVISION NACIONAL,4993445,Grupo 7,5066265,C.D. MOSTOLES U.R.J.C. 'A',2127,4,38,16,14,8,62,41,21,62,0,https://www.rffm.es/competicion/clasificaciones?temporada=12&competicion=4993445&grupo=5066265&tipojuego=1,2026-08-12T22:41:44.322971+00:00
2016-2017,12,OTHER,TERCERA DIVISION NACIONAL,4993445,Grupo 7,5066265,C.D. LEGANES S.A.D. 'B',94,5,38,18,8,12,57,45,12,62,0,https://www.rffm.es/competicion/clasificaciones?temporada=12&competicion=4993445&grupo=5066265&tipojuego=1,2026-08-12T22:41:44.322971+00:00
2016-2017,12,OTHER,TERCERA DIVISION NACIONAL,4993445,Grupo 7,5066265,GETAFE C.F. S.A.D. 'B',561,6,38,17,9,12,54,35,19,60,0,https://www.rffm.es/competicion/clasificaciones?temporada=12&competicion=4993445&grupo=5066265&tipojuego=1,2026-08-12T22:41:44.322971+00:00
2016-2017,12,OTHER,TERCERA DIVISION NACIONAL,4993445,Grupo 7,5066265,ATLETICO DE PINTO,162,7,38,15,13,10,36,30,6,58,0,https://www.rffm.es/competicion/clasificaciones?temporada=12&competicion=4993445&grupo=5066265&tipojuego=1,2026-08-12T22:41:44.322971+00:00
2016-2017,12,OTHER,TERCERA DIVISION NACIONAL,4993445,Grupo 7,5066265,R.S.D. ALCALA S.A.D. 'A',71,8,38,14,15,9,36,28,8,57,0,https://www.rffm.es/competicion/clasificaciones?temporada=12&competicion=4993445&grupo=5066265&tipojuego=1,2026-08-12T22:41:44.322971+00:00
2016-2017,12,OTHER,TERCERA DIVISION NACIONAL,4993445,Grupo 7,5066265,SAD. C.F. INTERNAC.MADRID DEP. S.L.,1045,9,38,15,11,12,52,40,12,56,0,https://www.rffm.es/competicion/clasificaciones?temporada=12&competicion=4993445&grupo=5066265&tipojuego=1,2026-08-12T22:41:44.322971+00:00
2016-2017,12,OTHER,TERCERA DIVISION NACIONAL,4993445,Grupo 7,5066265,DEPORTIVO A.V. SANTA ANA,1400,10,38,15,8,15,43,54,-11,53,0,https://www.rffm.es/competicion/clasificaciones?temporada=12&competicion=4993445&grupo=5066265&tipojuego=1,2026-08-12T22:41:44.322971+00:00
2016-2017,12,OTHER,TERCERA DIVISION NACIONAL,4993445,Grupo 7,5066265,S.R. VILLAVERDE-BOETTICHER C.F. 'A',939,11,38,13,10,15,41,52,-11,49,0,https://www.rffm.es/competicion/clasificaciones?temporada=12&competicion=4993445&grupo=5066265&tipojuego=1,2026-08-12T22:41:44.322971+00:00
2016-2017,12,OTHER,TERCERA DIVISION NACIONAL,4993445,Grupo 7,5066265,C.D. SAN FERNANDO,119,12,38,12,13,13,44,43,1,49,0,https://www.rffm.es/competicion/clasificaciones?temporada=12&competicion=4993445&grupo=5066265&tipojuego=1,2026-08-12T22:41:44.322971+00:00
