season,season_id,category,competition,competition_id,group,group_id,game_type,game_type_id,phase_label,matchday,matchday_label,match_id,home_team,home_team_id,away_team,away_team_id,home_score,away_score,match_date,match_time,match_datetime_raw,venue,venue_id,status,is_finished,is_scheduled,result_text_raw,source_url,source_type,scraped_at
2016-2017,12,AFICIONADO,TERCERA DE AFICIONADOS,4993478,Grupo 2,5075849,Futbol-11,1,regular_season,1.0,1 (18-09-2016),807850,C.D. OLIMPICO DE HORTALEZA 'B',4946966,Equipo Fuera (No asignado),-5514152,,,,,,,806,unscheduled,False,False,,https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993478&grupo=5075849&jornada=1&tipojuego=1,calendario_page,2026-08-12T22:41:57.297032+00:00
2016-2017,12,AFICIONADO,TERCERA DE AFICIONADOS,4993478,Grupo 2,5075849,Futbol-11,1,regular_season,2.0,2 (25-09-2016),807859,Equipo Casa (No asignado),-5514152,R.C.D. ESPANYOL DE MADRID,4945771,,,,,,,116,unscheduled,False,False,,https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993478&grupo=5075849&jornada=1&tipojuego=1,calendario_page,2026-08-12T22:41:57.297032+00:00
2016-2017,12,AFICIONADO,TERCERA DE AFICIONADOS,4993478,Grupo 2,5075849,Futbol-11,1,regular_season,3.0,3 (02-10-2016),807868,Equipo Casa (No asignado),-5514152,CELTIC CASTILLA C.F. 'B',3349086,,,,,,,116,unscheduled,False,False,,https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993478&grupo=5075849&jornada=1&tipojuego=1,calendario_page,2026-08-12T22:41:57.297032+00:00
2016-2017,12,AFICIONADO,TERCERA DE AFICIONADOS,4993478,Grupo 2,5075849,Futbol-11,1,regular_season,4.0,4 (09-10-2016),807878,ARAVACA C.F. 'C',2723855,Equipo Fuera (No asignado),-5514152,,,,,,,201,unscheduled,False,False,,https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993478&grupo=5075849&jornada=1&tipojuego=1,calendario_page,2026-08-12T22:41:57.297032+00:00
2016-2017,12,AFICIONADO,TERCERA DE AFICIONADOS,4993478,Grupo 2,5075849,Futbol-11,1,regular_season,5.0,5 (16-10-2016),807887,Equipo Casa (No asignado),-5514152,A.D. FUNDACION 'B',1419,,,,,,,116,unscheduled,False,False,,https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993478&grupo=5075849&jornada=1&tipojuego=1,calendario_page,2026-08-12T22:41:57.297032+00:00
2016-2017,12,AFICIONADO,TERCERA DE AFICIONADOS,4993478,Grupo 2,5075849,Futbol-11,1,regular_season,6.0,6 (23-10-2016),807897,C.D. BOCA,466808,Equipo Fuera (No asignado),-5514152,,,,,,,203,unscheduled,False,False,,https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993478&grupo=5075849&jornada=1&tipojuego=1,calendario_page,2026-08-12T22:41:57.297032+00:00
2016-2017,12,AFICIONADO,TERCERA DE AFICIONADOS,4993478,Grupo 2,5075849,Futbol-11,1,regular_season,7.0,7 (30-10-2016),807906,Equipo Casa (No asignado),-5514152,RAYO DEL PILAR C.F.,2853,,,,,,,116,unscheduled,False,False,,https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993478&grupo=5075849&jornada=1&tipojuego=1,calendario_page,2026-08-12T22:41:57.297032+00:00
2016-2017,12,AFICIONADO,TERCERA DE AFICIONADOS,4993478,Grupo 2,5075849,Futbol-11,1,regular_season,8.0,8 (06-11-2016),807916,C.D. VIRGEN DE MIRASIERRA,2279684,Equipo Fuera (No asignado),-5514152,,,,,,,123,unscheduled,False,False,,https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993478&grupo=5075849&jornada=1&tipojuego=1,calendario_page,2026-08-12T22:41:57.297032+00:00
2016-2017,12,AFICIONADO,TERCERA DE AFICIONADOS,4993478,Grupo 2,5075849,Futbol-11,1,regular_season,9.0,9 (13-11-2016),807925,Equipo Casa (No asignado),-5514152,C.F. DEPORTIVO MIRASIERRA,847258,,,,,,,116,unscheduled,False,False,,https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993478&grupo=5075849&jornada=1&tipojuego=1,calendario_page,2026-08-12T22:41:57.297032+00:00
2016-2017,12,AFICIONADO,TERCERA DE AFICIONADOS,4993478,Grupo 2,5075849,Futbol-11,1,regular_season,10.0,10 (20-11-2016),807935,C.D. ELECTROCOR C.F. 'A',3359955,Equipo Fuera (No asignado),-5514152,,,,,,,1220,unscheduled,False,False,,https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993478&grupo=5075849&jornada=1&tipojuego=1,calendario_page,2026-08-12T22:41:57.297032+00:00
2016-2017,12,AFICIONADO,TERCERA DE AFICIONADOS,4993478,Grupo 2,5075849,Futbol-11,1,regular_season,11.0,11 (27-11-2016),807944,Equipo Casa (No asignado),-5514152,A.D.C. LACOMA 'A',1457,,,,,,,116,unscheduled,False,False,,https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993478&grupo=5075849&jornada=1&tipojuego=1,calendario_page,2026-08-12T22:41:57.297032+00:00
2016-2017,12,AFICIONADO,TERCERA DE AFICIONADOS,4993478,Grupo 2,5075849,Futbol-11,1,regular_season,12.0,12 (04-12-2016),807954,ESCUELA EUROPEA C.F.,680166,Equipo Fuera (No asignado),-5514152,,,,,,,212,unscheduled,False,False,,https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993478&grupo=5075849&jornada=1&tipojuego=1,calendario_page,2026-08-12T22:41:57.297032+00:00
