season,competition_id,group_id,team_id,player_name,goals,source_url,scraped_at
2016-2017,4993446,5148235,2172,"CERVERO OTERO, DIEGO",3,https://www.rffm.es/competicion/goleadores?temporada=12&competicion=4993446&grupo=5148235&tipojuego=1,2026-08-12T22:41:39.615522+00:00
2016-2017,4993446,5148235,2002,"MERCHAN DE ANTONIO, VICTOR",3,https://www.rffm.es/competicion/goleadores?temporada=12&competicion=4993446&grupo=5148235&tipojuego=1,2026-08-12T22:41:39.615522+00:00
2016-2017,4993446,5148235,2172,"MOLINERO PONS, ABEL",2,https://www.rffm.es/competicion/goleadores?temporada=12&competicion=4993446&grupo=5148235&tipojuego=1,2026-08-12T22:41:39.615522+00:00
2016-2017,4993446,5148235,1045,"PEREZ BRAVO, ADRIAN",2,https://www.rffm.es/competicion/goleadores?temporada=12&competicion=4993446&grupo=5148235&tipojuego=1,2026-08-12T22:41:39.615522+00:00
2016-2017,4993446,5148235,1045,"GARCÍA FERNÁNDEZ, DANIEL",2,https://www.rffm.es/competicion/goleadores?temporada=12&competicion=4993446&grupo=5148235&tipojuego=1,2026-08-12T22:41:39.615522+00:00
2016-2017,4993446,5148235,2172,"JIMENEZ SANDOVAL, CHRISTIAN",2,https://www.rffm.es/competicion/goleadores?temporada=12&competicion=4993446&grupo=5148235&tipojuego=1,2026-08-12T22:41:39.615522+00:00
2016-2017,4993446,5148235,2172,"ALVAREZ SANCHEZ, CARLOS",2,https://www.rffm.es/competicion/goleadores?temporada=12&competicion=4993446&grupo=5148235&tipojuego=1,2026-08-12T22:41:39.615522+00:00
2016-2017,4993446,5148235,2002,"GARCIA HERNANZ, MOISES",1,https://www.rffm.es/competicion/goleadores?temporada=12&competicion=4993446&grupo=5148235&tipojuego=1,2026-08-12T22:41:39.615522+00:00
2016-2017,4993446,5148235,2172,"MARQUEZ CRESPO, CRISTOBAL",1,https://www.rffm.es/competicion/goleadores?temporada=12&competicion=4993446&grupo=5148235&tipojuego=1,2026-08-12T22:41:39.615522+00:00
2016-2017,4993446,5148235,2002,"PEREIRA DOS SANTOS, JOAO PEDRO",1,https://www.rffm.es/competicion/goleadores?temporada=12&competicion=4993446&grupo=5148235&tipojuego=1,2026-08-12T22:41:39.615522+00:00
2016-2017,4993446,5148235,2002,"VALENTIN MARTIN LUENGO, OSCAR",1,https://www.rffm.es/competicion/goleadores?temporada=12&competicion=4993446&grupo=5148235&tipojuego=1,2026-08-12T22:41:39.615522+00:00
2016-2017,4993446,5148235,1045,"ZAMORA SANCHEZ, ALVARO",1,https://www.rffm.es/competicion/goleadores?temporada=12&competicion=4993446&grupo=5148235&tipojuego=1,2026-08-12T22:41:39.615522+00:00
2016-2017,4993446,5148235,2002,"VAZQUEZ MARIN, ENRIQUE",1,https://www.rffm.es/competicion/goleadores?temporada=12&competicion=4993446&grupo=5148235&tipojuego=1,2026-08-12T22:41:39.615522+00:00
2016-2017,4993446,5148235,106,"TRUJILLO IGLESIAS, DAVID",1,https://www.rffm.es/competicion/goleadores?temporada=12&competicion=4993446&grupo=5148235&tipojuego=1,2026-08-12T22:41:39.615522+00:00
