season,season_id,category,competition,competition_id,group,group_id,team,team_id,position,played,wins,draws,losses,goals_for,goals_against,goal_diff,points,sanction_points,source_url,scraped_at
2017-2018,13,OTHER,COPA REAL FEDERACION ESPAÑOLA DE FUTBOL,6931746,Grupo Unico,7061757,U.D. SAN SEBASTIAN REYES 'A',407,1,1,1,0,0,3,1,2,3,0,https://www.rffm.es/competicion/clasificaciones?temporada=13&competicion=6931746&grupo=7061757&tipojuego=1,2026-08-12T22:03:41.355813+00:00
2017-2018,13,OTHER,COPA REAL FEDERACION ESPAÑOLA DE FUTBOL,6931746,Grupo Unico,7061757,FUTBOL ALCOBENDAS SPORT,2002,2,1,0,0,1,1,3,-2,0,0,https://www.rffm.es/competicion/clasificaciones?temporada=13&competicion=6931746&grupo=7061757&tipojuego=1,2026-08-12T22:03:41.355813+00:00
2017-2018,13,OTHER,TERCERA DIVISION NACIONAL,6925637,Grupo 7,6988755,SAD. C.F. INTERNAC.MADRID DEP. S.L.,1045,1,38,23,10,5,62,21,41,79,0,https://www.rffm.es/competicion/clasificaciones?temporada=13&competicion=6925637&grupo=6988755&tipojuego=1,2026-08-12T22:03:50.932071+00:00
2017-2018,13,OTHER,TERCERA DIVISION NACIONAL,6925637,Grupo 7,6988755,GETAFE C.F. S.A.D. 'B',561,2,38,23,9,6,67,31,36,78,0,https://www.rffm.es/competicion/clasificaciones?temporada=13&competicion=6925637&grupo=6988755&tipojuego=1,2026-08-12T22:03:50.932071+00:00
2017-2018,13,OTHER,TERCERA DIVISION NACIONAL,6925637,Grupo 7,6988755,RAYO VALLECANO DE MADRID 'B',58,3,38,22,8,8,63,31,32,74,0,https://www.rffm.es/competicion/clasificaciones?temporada=13&competicion=6925637&grupo=6988755&tipojuego=1,2026-08-12T22:03:50.932071+00:00
2017-2018,13,OTHER,TERCERA DIVISION NACIONAL,6925637,Grupo 7,6988755,R.S.D. ALCALA S.A.D. 'A',71,4,38,21,9,8,63,32,31,72,0,https://www.rffm.es/competicion/clasificaciones?temporada=13&competicion=6925637&grupo=6988755&tipojuego=1,2026-08-12T22:03:50.932071+00:00
2017-2018,13,OTHER,TERCERA DIVISION NACIONAL,6925637,Grupo 7,6988755,C.F. POZUELO DE ALARCON 'A',1873,5,38,18,11,9,46,37,9,65,0,https://www.rffm.es/competicion/clasificaciones?temporada=13&competicion=6925637&grupo=6988755&tipojuego=1,2026-08-12T22:03:50.932071+00:00
2017-2018,13,OTHER,TERCERA DIVISION NACIONAL,6925637,Grupo 7,6988755,C.D. SAN FERNANDO,119,6,38,18,9,11,58,41,17,63,0,https://www.rffm.es/competicion/clasificaciones?temporada=13&competicion=6925637&grupo=6988755&tipojuego=1,2026-08-12T22:03:50.932071+00:00
2017-2018,13,OTHER,TERCERA DIVISION NACIONAL,6925637,Grupo 7,6988755,FUTBOL ALCOBENDAS SPORT,2002,7,38,18,9,11,59,38,21,63,0,https://www.rffm.es/competicion/clasificaciones?temporada=13&competicion=6925637&grupo=6988755&tipojuego=1,2026-08-12T22:03:50.932071+00:00
2017-2018,13,OTHER,TERCERA DIVISION NACIONAL,6925637,Grupo 7,6988755,C.D. MOSTOLES U.R.J.C. 'A',2127,8,38,16,13,9,56,41,15,61,0,https://www.rffm.es/competicion/clasificaciones?temporada=13&competicion=6925637&grupo=6988755&tipojuego=1,2026-08-12T22:03:50.932071+00:00
