season,season_id,category,competition,competition_id,group,group_id,game_type,game_type_id,phase_label,matchday,matchday_label,match_id,home_team,home_team_id,away_team,away_team_id,home_score,away_score,match_date,match_time,match_datetime_raw,venue,venue_id,status,is_finished,is_scheduled,result_text_raw,source_url,source_type,scraped_at
2020-2021,16,OTHER,COPA CAMPEONES PREFERENTE,12378165,FINAL,12378207,Futbol-11,1,playoff,,"Final, 04-10-2020 (Ida)",1304907,A.D. COMPLUTENSE ALCALA 'A',2451,MOSTOLES C.F. 'A',3195,0.0,0.0,2020-10-11,11:00,11-10-2020 11:00,GARCIA DE LA MATA (HA)(HA),803,finished,True,True,0-0,https://www.rffm.es/competicion/calendario?temporada=16&competicion=12378165&grupo=12378207&jornada=1&tipojuego=1,calendario_page,2026-08-05T01:13:44.998931+00:00
2020-2021,16,OTHER,COPA R.F.E.F.,12530702,Grupo Unico,12541603,Futbol-11,1,regular_season,1.0,1 (07-10-2020),1305999,RAYO VALLECANO DE MADRID 'B',58,C.D. MOSTOLES U.R.J.C. 'A',2127,0.0,0.0,2020-10-07,10:30,07-10-2020 10:30,GARCIA DE LA MATA (HA)(HA),803,finished,True,True,0-0,https://www.rffm.es/competicion/calendario?temporada=16&competicion=12530702&grupo=12541603&jornada=1&tipojuego=1,calendario_page,2026-08-05T01:13:44.973789+00:00
2020-2021,16,OTHER,COPA R.F.E.F.,12530702,Grupo Unico,12541603,Futbol-11,1,regular_season,2.0,2 (07-10-2020),1306007,RAYO VALLECANO DE MADRID 'B',58,U.D. SAN SEBASTIAN REYES 'A',407,0.0,1.0,2020-10-07,11:45,07-10-2020 11:45,GARCIA DE LA MATA (HA)(HA),803,finished,True,True,0-1,https://www.rffm.es/competicion/calendario?temporada=16&competicion=12530702&grupo=12541603&jornada=1&tipojuego=1,calendario_page,2026-08-05T01:13:44.973789+00:00
2020-2021,16,OTHER,COPA R.F.E.F.,12530702,Grupo Unico,12541603,Futbol-11,1,regular_season,3.0,3 (07-10-2020),1306008,U.D. SAN SEBASTIAN REYES 'A',407,C.D. MOSTOLES U.R.J.C. 'A',2127,0.0,1.0,2020-10-07,13:10,07-10-2020 13:10,GARCIA DE LA MATA (HA)(HA),803,finished,True,True,0-1,https://www.rffm.es/competicion/calendario?temporada=16&competicion=12530702&grupo=12541603&jornada=1&tipojuego=1,calendario_page,2026-08-05T01:13:44.973789+00:00
2020-2021,16,OTHER,COPA R.F.F.M.,12235190,Grupo 1,12408988,Futbol-11,1,regular_season,1.0,1 (20-09-2020),1304915,C.D. MOSTOLES U.R.J.C. 'A',2127,C.D. LEGANES S.A.D. 'B',94,1.0,0.0,2020-09-20,11:00,20-09-2020 11:00,LEGANES - ANEXO ESTADIO BUTARQUE JESUS POLO (HA)(HA),1409,finished,True,True,1-0,https://www.rffm.es/competicion/calendario?temporada=16&competicion=12235190&grupo=12408988&jornada=1&tipojuego=1,calendario_page,2026-08-05T01:13:43.717683+00:00
2020-2021,16,OTHER,COPA R.F.F.M.,12235190,Grupo 1,12408988,Futbol-11,1,regular_season,1.0,1 (20-09-2020),1304914,A.D. UNION ADARVE 'A',1592,C.F. TRIVAL VALDERAS ALCORCON,1563,1.0,0.0,2020-09-20,12:00,20-09-2020 12:00,C.D.M. VICENTE DEL BOSQUE (HA)(HA),116,finished,True,True,1-0,https://www.rffm.es/competicion/calendario?temporada=16&competicion=12235190&grupo=12408988&jornada=1&tipojuego=1,calendario_page,2026-08-05T01:13:43.717683+00:00
2020-2021,16,OTHER,COPA R.F.F.M.,12235190,Grupo 1,12408988,Futbol-11,1,regular_season,2.0,2 (27-09-2020),1304917,C.D. LEGANES S.A.D. 'B',94,A.D. UNION ADARVE 'A',1592,0.0,0.0,2020-09-26,11:00,26-09-2020 11:00,LEGANES - ANEXO ESTADIO BUTARQUE JESUS POLO (HA)(HA),1409,finished,True,True,0-0,https://www.rffm.es/competicion/calendario?temporada=16&competicion=12235190&grupo=12408988&jornada=1&tipojuego=1,calendario_page,2026-08-05T01:13:43.717683+00:00
2020-2021,16,OTHER,COPA R.F.F.M.,12235190,Grupo 1,12408988,Futbol-11,1,regular_season,2.0,2 (27-09-2020),1304916,C.D. MOSTOLES U.R.J.C. 'A',2127,C.F. TRIVAL VALDERAS ALCORCON,1563,2.0,2.0,2020-09-27,11:30,27-09-2020 11:30,ALCORCON - LA CANALEJA (HA)(HA),1301,finished,True,True,2-2,https://www.rffm.es/competicion/calendario?temporada=16&competicion=12235190&grupo=12408988&jornada=1&tipojuego=1,calendario_page,2026-08-05T01:13:43.717683+00:00
2020-2021,16,OTHER,COPA R.F.F.M.,12235190,Grupo 1,12408988,Futbol-11,1,regular_season,3.0,3 (04-10-2020),1304918,C.F. TRIVAL VALDERAS ALCORCON,1563,C.D. LEGANES S.A.D. 'B',94,1.0,1.0,2020-10-04,11:30,04-10-2020 11:30,ALCORCON - LA CANALEJA (HA)(HA),1301,finished,True,True,1-1,https://www.rffm.es/competicion/calendario?temporada=16&competicion=12235190&grupo=12408988&jornada=1&tipojuego=1,calendario_page,2026-08-05T01:13:43.717683+00:00
2020-2021,16,OTHER,COPA R.F.F.M.,12235190,Grupo 1,12408988,Futbol-11,1,regular_season,3.0,3 (04-10-2020),1304919,A.D. UNION ADARVE 'A',1592,C.D. MOSTOLES U.R.J.C. 'A',2127,2.0,2.0,2020-10-04,12:00,04-10-2020 12:00,C.D.M. VICENTE DEL BOSQUE (HA)(HA),116,finished,True,True,2-2,https://www.rffm.es/competicion/calendario?temporada=16&competicion=12235190&grupo=12408988&jornada=1&tipojuego=1,calendario_page,2026-08-05T01:13:43.717683+00:00
2020-2021,16,OTHER,COPA R.F.F.M.,12235190,Grupo 2,12408991,Futbol-11,1,regular_season,1.0,1 (20-09-2020),1304908,A.D. ALCORCON S.A.D. 'B',280,R.S.D. ALCALA S.A.D.,71,0.0,0.0,2020-09-30,18:00,30-09-2020 18:00,ALCORCON - PVO. MPAL. SANTO DOMINGO (HA)(HA),1332,finished,True,True,0-0,https://www.rffm.es/competicion/calendario?temporada=16&competicion=12235190&grupo=12408991&jornada=1&tipojuego=1,calendario_page,2026-08-05T01:13:44.974032+00:00
