season,season_id,category,competition,competition_id,group,group_id,team,team_id,position,played,wins,draws,losses,goals_for,goals_against,goal_diff,points,sanction_points,source_url,scraped_at
2020-2021,16,OTHER,COPA R.F.E.F.,12530702,Grupo Unico,12541603,C.D. MOSTOLES U.R.J.C. 'A',2127,1,2,1,1,0,1,0,1,4,0,https://www.rffm.es/competicion/clasificaciones?temporada=16&competicion=12530702&grupo=12541603&tipojuego=1,2026-08-05T01:13:44.975185+00:00
2020-2021,16,OTHER,COPA R.F.E.F.,12530702,Grupo Unico,12541603,U.D. SAN SEBASTIAN REYES 'A',407,2,2,1,0,1,1,1,0,3,0,https://www.rffm.es/competicion/clasificaciones?temporada=16&competicion=12530702&grupo=12541603&tipojuego=1,2026-08-05T01:13:44.975185+00:00
2020-2021,16,OTHER,COPA R.F.E.F.,12530702,Grupo Unico,12541603,RAYO VALLECANO DE MADRID 'B',58,3,2,0,1,1,0,1,-1,1,0,https://www.rffm.es/competicion/clasificaciones?temporada=16&competicion=12530702&grupo=12541603&tipojuego=1,2026-08-05T01:13:44.975185+00:00
2020-2021,16,OTHER,COPA R.F.F.M.,12235190,Grupo 1,12408988,C.D. MOSTOLES U.R.J.C. 'A',2127,1,3,1,2,0,5,4,1,5,0,https://www.rffm.es/competicion/clasificaciones?temporada=16&competicion=12235190&grupo=12408988&tipojuego=1,2026-08-05T01:13:43.721382+00:00
2020-2021,16,OTHER,COPA R.F.F.M.,12235190,Grupo 1,12408988,A.D. UNION ADARVE 'A',1592,2,3,1,2,0,3,2,1,5,0,https://www.rffm.es/competicion/clasificaciones?temporada=16&competicion=12235190&grupo=12408988&tipojuego=1,2026-08-05T01:13:43.721382+00:00
2020-2021,16,OTHER,COPA R.F.F.M.,12235190,Grupo 1,12408988,C.F. TRIVAL VALDERAS ALCORCON,1563,3,3,0,2,1,3,4,-1,2,0,https://www.rffm.es/competicion/clasificaciones?temporada=16&competicion=12235190&grupo=12408988&tipojuego=1,2026-08-05T01:13:43.721382+00:00
2020-2021,16,OTHER,COPA R.F.F.M.,12235190,Grupo 1,12408988,C.D. LEGANES S.A.D. 'B',94,4,3,0,2,1,1,2,-1,2,0,https://www.rffm.es/competicion/clasificaciones?temporada=16&competicion=12235190&grupo=12408988&tipojuego=1,2026-08-05T01:13:43.721382+00:00
2020-2021,16,OTHER,COPA R.F.F.M.,12235190,Grupo 2,12408991,RAYO VALLECANO DE MADRID 'B',58,1,3,3,0,0,7,3,4,9,0,https://www.rffm.es/competicion/clasificaciones?temporada=16&competicion=12235190&grupo=12408991&tipojuego=1,2026-08-05T01:13:44.975328+00:00
2020-2021,16,OTHER,COPA R.F.F.M.,12235190,Grupo 2,12408991,A.D. ALCORCON S.A.D. 'B',280,2,3,1,1,1,3,4,-1,4,0,https://www.rffm.es/competicion/clasificaciones?temporada=16&competicion=12235190&grupo=12408991&tipojuego=1,2026-08-05T01:13:44.975328+00:00
2020-2021,16,OTHER,COPA R.F.F.M.,12235190,Grupo 2,12408991,C.F. POZUELO DE ALARCON 'A',1873,3,3,1,0,2,3,4,-1,3,0,https://www.rffm.es/competicion/clasificaciones?temporada=16&competicion=12235190&grupo=12408991&tipojuego=1,2026-08-05T01:13:44.975328+00:00
