season,season_id,category,competition,competition_id,group,group_id,game_type,game_type_id,phase_label,matchday,matchday_label,match_id,home_team,home_team_id,away_team,away_team_id,home_score,away_score,match_date,match_time,match_datetime_raw,venue,venue_id,status,is_finished,is_scheduled,result_text_raw,source_url,source_type,scraped_at
2020-2021,16,OTHER,PLAY-OFF DE ASCENSO A 2ª DIVISION B,12235154,Eliminatorias,12235155,Futbol-11,1,regular_season,,"Semifinales, 18-07-2020 (Ida)",1304900,Equipo Casa (No asignado),-10000,Equipo Fuera (No asignado),-20000,,,,,,,,unscheduled,False,False,,https://www.rffm.es/competicion/calendario?temporada=16&competicion=12235154&grupo=12235155&jornada=1&tipojuego=1,calendario_page,2026-08-05T01:13:43.384407+00:00
2020-2021,16,OTHER,PLAY-OFF DE ASCENSO A 2ª DIVISION B,12235154,Eliminatorias,12235155,Futbol-11,1,regular_season,,"Semifinales, 18-07-2020 (Ida)",1304901,Equipo Casa (No asignado),-9999,Equipo Fuera (No asignado),-19999,,,,,,,,unscheduled,False,False,,https://www.rffm.es/competicion/calendario?temporada=16&competicion=12235154&grupo=12235155&jornada=1&tipojuego=1,calendario_page,2026-08-05T01:13:43.384407+00:00
2020-2021,16,OTHER,PLAY-OFF DE ASCENSO A 2ª DIVISION B,12235154,Eliminatorias,12235155,Futbol-11,1,regular_season,,"Final, 25-07-2020 (Ida)",1304902,Equipo Casa (No asignado),-20000,Equipo Fuera (No asignado),-40000,,,,,,,,unscheduled,False,False,,https://www.rffm.es/competicion/calendario?temporada=16&competicion=12235154&grupo=12235155&jornada=1&tipojuego=1,calendario_page,2026-08-05T01:13:43.384407+00:00
2020-2021,16,OTHER,PLAY-OFF DE ASCENSO A 2ª DIVISION B,12235154,FINAL,12282850,Futbol-11,1,regular_season,,"Final, 25-07-2020 (Ida)",1304905,C.D.A. NAVALCARNERO 'A',366,A.D. ALCORCON S.A.D. 'B',280,,,2020-07-25,22:00,25-07-2020 22:00,LAS ROZAS - CIUDAD DEL FUTBOL (HB)(HB),1229,scheduled,False,True,,https://www.rffm.es/competicion/calendario?temporada=16&competicion=12235154&grupo=12282850&jornada=1&tipojuego=1,calendario_page,2026-08-05T01:13:45.367128+00:00
2020-2021,16,OTHER,TERCERA DIVISION - PERMANENCIA - E,13502285,TERCERA DIVISION - PERMANENCIA - E,13502286,Futbol-11,1,regular_season,1.0,1 (04-04-2021),1402245,A.D. COMPLUTENSE ALCALA 'A',2451,Equipo Fuera (No asignado),,,,,,,,1735,unscheduled,False,False,,https://www.rffm.es/competicion/calendario?temporada=16&competicion=13502285&grupo=13502286&jornada=1&tipojuego=1,calendario_page,2026-08-05T01:13:48.941816+00:00
2020-2021,16,OTHER,TERCERA DIVISION - PERMANENCIA - E,13502285,TERCERA DIVISION - PERMANENCIA - E,13502286,Futbol-11,1,regular_season,2.0,2 (11-04-2021),1402251,Equipo Casa (No asignado),,DEPORTIVO A.V. SANTA ANA,1400,,,,,,,,unscheduled,False,False,,https://www.rffm.es/competicion/calendario?temporada=16&competicion=13502285&grupo=13502286&jornada=1&tipojuego=1,calendario_page,2026-08-05T01:13:48.941816+00:00
2020-2021,16,OTHER,TERCERA DIVISION - PERMANENCIA - E,13502285,TERCERA DIVISION - PERMANENCIA - E,13502286,Futbol-11,1,regular_season,3.0,3 (18-04-2021),1402262,F.C. VILLANUEVA DEL PARDILLO 'A',1532,Equipo Fuera (No asignado),,,,,,,,1214,unscheduled,False,False,,https://www.rffm.es/competicion/calendario?temporada=16&competicion=13502285&grupo=13502286&jornada=1&tipojuego=1,calendario_page,2026-08-05T01:13:48.941816+00:00
2020-2021,16,OTHER,TERCERA DIVISION - PERMANENCIA - E,13502285,TERCERA DIVISION - PERMANENCIA - E,13502286,Futbol-11,1,regular_season,4.0,4 (25-04-2021),1402268,Equipo Casa (No asignado),,C.D. SAN FERNANDO,119,,,,,,,,unscheduled,False,False,,https://www.rffm.es/competicion/calendario?temporada=16&competicion=13502285&grupo=13502286&jornada=1&tipojuego=1,calendario_page,2026-08-05T01:13:48.941816+00:00
2020-2021,16,OTHER,TERCERA DIVISION - PERMANENCIA - E,13502285,TERCERA DIVISION - PERMANENCIA - E,13502286,Futbol-11,1,regular_season,5.0,5 (02-05-2021),1402273,C.D.B. PARACUELLOS ANTAMIRA 'A',2002,Equipo Fuera (No asignado),,,,,,,,1123,unscheduled,False,False,,https://www.rffm.es/competicion/calendario?temporada=16&competicion=13502285&grupo=13502286&jornada=1&tipojuego=1,calendario_page,2026-08-05T01:13:48.941816+00:00
2020-2021,16,OTHER,TERCERA DIVISION - PERMANENCIA - E,13502285,TERCERA DIVISION - PERMANENCIA - E,13502286,Futbol-11,1,regular_season,6.0,6 (09-05-2021),1402279,Equipo Casa (No asignado),,R.S.D. ALCALA S.A.D.,71,,,,,,,,unscheduled,False,False,,https://www.rffm.es/competicion/calendario?temporada=16&competicion=13502285&grupo=13502286&jornada=1&tipojuego=1,calendario_page,2026-08-05T01:13:48.941816+00:00
