team_id,reason,evidence,scraped_at
-11330963,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11331811,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11331843,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11332196,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11333232,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11366262,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11368610,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11373573,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11375433,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11380776,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11382135,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11385633,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11385913,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11386893,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11387582,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11388291,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11396139,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11396164,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11400925,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11468584,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11470495,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11470709,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11473046,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11532579,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11532994,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11533109,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11533180,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11533374,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11534308,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11569353,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11569716,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11569749,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11569841,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11570291,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11599006,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11599468,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11604087,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11627960,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11641745,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11671358,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11696477,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11703951,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11738791,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11768661,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11769362,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11781716,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11783656,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11784460,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11803857,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11806149,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11823154,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11836728,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11838644,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11848783,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11850599,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11862578,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11900296,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11900297,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-11923384,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11923392,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-11977810,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-120000,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-12012209,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
