team_id,club_id,source,source_url,scraped_at
106,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
300231,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
107,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
300097,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
466579,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
4941948,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
300098,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
109,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
111,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
1031154,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
466646,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
110,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
15351894,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
112,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
113,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
300362,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
26729848,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
886983,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
1055028,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
3037787,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
300414,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
114,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
13561640,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
13561641,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
22648450,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
13561642,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
14352847,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
24014881,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
116,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
719214,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
900221,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
300109,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
334109,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
300394,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
300395,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
719215,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
1031156,1011,fichaclub_roster,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
117,1014,fichaclub_roster,https://www.rffm.es/fichaclub/1014,2026-08-19T06:45:26.845526+00:00
4950040,1014,fichaclub_roster,https://www.rffm.es/fichaclub/1014,2026-08-19T06:45:26.845526+00:00
118,1014,fichaclub_roster,https://www.rffm.es/fichaclub/1014,2026-08-19T06:45:26.845526+00:00
4950041,1014,fichaclub_roster,https://www.rffm.es/fichaclub/1014,2026-08-19T06:45:26.845526+00:00
6970626,1014,fichaclub_roster,https://www.rffm.es/fichaclub/1014,2026-08-19T06:45:26.845526+00:00
26722783,1014,fichaclub_roster,https://www.rffm.es/fichaclub/1014,2026-08-19T06:45:26.845526+00:00
334086,1014,fichaclub_roster,https://www.rffm.es/fichaclub/1014,2026-08-19T06:45:26.845526+00:00
4950042,1014,fichaclub_roster,https://www.rffm.es/fichaclub/1014,2026-08-19T06:45:26.845526+00:00
