season,season_id,category,competition,competition_id,group,group_id,group_label_raw,subgroup_label,source_url,scraped_at
2025-2026,21,BENJAMIN,PREFERENTE BENJAMÍN F-7,24037779,Grupo 10,24037788,Grupo 10,,https://www.rffm.es/api/groups?competicion=24037779,2026-07-31T11:29:49.230905+00:00
2025-2026,21,BENJAMIN,PREFERENTE BENJAMÍN F-7,24037779,Grupo 11,24037791,Grupo 11,,https://www.rffm.es/api/groups?competicion=24037779,2026-07-31T11:29:52.456944+00:00
2025-2026,21,BENJAMIN,PREFERENTE BENJAMÍN F-7,24037779,Grupo 12,24037790,Grupo 12,,https://www.rffm.es/api/groups?competicion=24037779,2026-07-31T11:29:57.780138+00:00
2025-2026,21,BENJAMIN,PREFERENTE BENJAMÍN F-7,24037779,Grupo 13,24037792,Grupo 13,,https://www.rffm.es/api/groups?competicion=24037779,2026-07-31T11:29:59.796522+00:00
2025-2026,21,BENJAMIN,PREFERENTE BENJAMÍN F-7,24037779,Grupo 14,24037793,Grupo 14,,https://www.rffm.es/api/groups?competicion=24037779,2026-07-31T11:30:05.129837+00:00
2025-2026,21,BENJAMIN,PREFERENTE BENJAMÍN F-7,24037779,Grupo 15,24037794,Grupo 15,,https://www.rffm.es/api/groups?competicion=24037779,2026-07-31T11:30:08.647063+00:00
2025-2026,21,BENJAMIN,PREFERENTE BENJAMÍN F-7,24037779,Grupo 16,24037795,Grupo 16,,https://www.rffm.es/api/groups?competicion=24037779,2026-07-31T11:30:12.661471+00:00
2025-2026,21,BENJAMIN,T. CAMPEONES PREF. BENJAMIN F7 1ª FASE,26687934,CUADRANGULAR 1,26687935,CUADRANGULAR 1,,https://www.rffm.es/api/groups?competicion=26687934,2026-07-31T11:30:15.783259+00:00
2025-2026,21,BENJAMIN,T. CAMPEONES PREF. BENJAMIN F7 1ª FASE,26687934,CUADRANGULAR 2,26687936,CUADRANGULAR 2,,https://www.rffm.es/api/groups?competicion=26687934,2026-07-31T11:30:17.919840+00:00
2025-2026,21,BENJAMIN,T. CAMPEONES PREF. BENJAMIN F7 1ª FASE,26687934,CUADRANGULAR 3,26687937,CUADRANGULAR 3,,https://www.rffm.es/api/groups?competicion=26687934,2026-07-31T11:30:20.425734+00:00
2025-2026,21,BENJAMIN,T. CAMPEONES PREF. BENJAMIN F7 1ª FASE,26687934,CUADRANGULAR 4,26687938,CUADRANGULAR 4,,https://www.rffm.es/api/groups?competicion=26687934,2026-07-31T11:30:23.010465+00:00
