match_id,official_kind,official_id,official_name,role_raw,source_url,scraped_at
1842829,referee,5266489,"DE LEON ORGAZ, ALVARO",Arbitro asistente,https://www.rffm.es/acta-partido/1842829,2026-08-07T07:37:57.372981+00:00
1842830,referee,5000660,"MORENO DURAN, JORGE",Arbitro principal,https://www.rffm.es/acta-partido/1842830,2026-08-07T07:37:57.763897+00:00
1842830,referee,5255695,"JARAMILLO ACUÑA, MATTHEW FELIPE",Arbitro asistente,https://www.rffm.es/acta-partido/1842830,2026-08-07T07:37:57.763897+00:00
1842831,referee,5083541,"CELADOR HERNANDEZ, SERGIO",Arbitro principal,https://www.rffm.es/acta-partido/1842831,2026-08-07T07:37:57.806658+00:00
1842831,referee,5249517,"FERNANDEZ VALLE, ALBA",Arbitro asistente,https://www.rffm.es/acta-partido/1842831,2026-08-07T07:37:57.806658+00:00
1842832,referee,5171918,"BANCU , GEORGIANA ALINA",Arbitro principal,https://www.rffm.es/acta-partido/1842832,2026-08-07T07:37:57.997892+00:00
1842832,referee,5249517,"FERNANDEZ VALLE, ALBA",Arbitro asistente,https://www.rffm.es/acta-partido/1842832,2026-08-07T07:37:57.997892+00:00
1842833,referee,5115352,"PASCUAL CABILLAS, JOSE ENRIQUE",Arbitro principal,https://www.rffm.es/acta-partido/1842833,2026-08-07T07:37:58.517384+00:00
1842833,referee,5231843,"VARA GONZALEZ, ANGEL",Arbitro principal,https://www.rffm.es/acta-partido/1842833,2026-08-07T07:37:58.517384+00:00
1842833,referee,5002307,"ASENJO GARCIA, JULIO ALBERTO",Arbitro asistente,https://www.rffm.es/acta-partido/1842833,2026-08-07T07:37:58.517384+00:00
