season,club_name_raw,matches_real
2024-2025,UNION DEPORTIVA LA POVEDA,25
2024-2025,UNION DEPORTIVA USERA,11
2024-2025,UNION ZONA NORTE,13
2024-2025,VALDEMORO CLUB DE FUTBOL,13
2024-2025,VALLECAS C.F.,28
2025-2026,A.C.R. ATLETICO ALCOBENDAS,18
2025-2026,A.D. ALHONDIGA,39
2025-2026,A.D. ARGANDA C.F.,15
2025-2026,A.D. COMPLUTENSE ALCALA,39
2025-2026,A.D. EL NORTE,35
2025-2026,A.D. ESCUELA DE FUTBOL DE CARABANCHEL,64
2025-2026,A.D. ESCUELA DE FUTBOL USERA,17
2025-2026,A.D. ESPERANZA,50
2025-2026,A.D. HENARES D.IV,14
2025-2026,A.D. JUVENTUD CANARIO,20
2025-2026,A.D. NAYA,14
2025-2026,A.D. NUEVO BAZTAN,14
2025-2026,A.D. OÑA SANCHINARRO,18
2025-2026,A.D. PARLA,20
2025-2026,A.D. SPORTING HORTALEZA,37
2025-2026,A.D. UNION ADARVE,18
2025-2026,A.D.C. SAN FERMIN,17
2025-2026,A.D.Y.C. PINTO,1
2025-2026,AD A.TOLEDO OLIVOS C.F.,16
2025-2026,AGRUPACION C.D. LUCERO LINCES,34
2025-2026,ALCOBENDAS C.F.,44
2025-2026,ATLETICO CHOPERA ALCOBENDAS 04,56
2025-2026,ATLETICO LA GARENA,13
2025-2026,C.D. AVANCE,14
2025-2026,C.D. BETIS SAN ISIDRO,16
2025-2026,C.D. CARRANZA,18
2025-2026,C.D. CHAMBERI DE MADRID,35
2025-2026,C.D. COLONIA MOSCARDO,16
2025-2026,C.D. DUX INTERNACIONAL DE MADRID FOOTBALL ACADEMY VILLAVICIOSA DE ODON,17
2025-2026,C.D. ESTUDIANTES LAS TABLAS,31
2025-2026,C.D. FORTUNA,17
2025-2026,C.D. FUTBOL TRES CANTOS,19
2025-2026,C.D. GOYA,18
2025-2026,C.D. MASRIVER,35
2025-2026,C.D. MIRASUR,17
2025-2026,C.D. MOSTOLES U.R.J.C.,35
2025-2026,C.D. NEWMAN,20
2025-2026,C.D. NUEVO BOADILLA,64
2025-2026,C.D. OLIMPICO LAS ROSAS,18
2025-2026,C.D. PUERTA DE MADRID,14
2025-2026,C.D. RIVAS JARAMA,16
2025-2026,C.D. SAN CRISTOBAL DE LOS ANGELES,31
2025-2026,C.D. SAN FERNANDO,17
2025-2026,C.D. SANTA BARBARA GETAFE,18
2025-2026,C.D. SANTIAGO APOSTOL VILLAVERDE,17
2025-2026,C.D. SEK EL CASTILLO,14
2025-2026,C.D. SPARTAC DE MANOTERAS,20
2025-2026,C.D. UNION EUROPA SANSE,20
2025-2026,C.D. UNION VALDEBERNARDO,18
2025-2026,C.D. VICALVARO,51
2025-2026,C.D.E. ACADEMIA DE FUTBOL ALCOBENDAS,39
2025-2026,C.D.E. AMISTAD ALCORCON,35
2025-2026,C.D.E. AUPA - MENTEMA BOADILLA,32
2025-2026,C.D.E. CIUDAD DE PINTO,31
2025-2026,C.D.E. F.P.A. LAS ROZAS,29
2025-2026,C.D.E. NUEVO CIUDAD - CUBAS DE LA SAGRA,20
2025-2026,C.F. AGUILAS DEL LUCERO,18
2025-2026,C.F. CAMPO REAL 89,1
2025-2026,C.F. INTER DE VALDEMORO,18
2025-2026,C.F. MADRID RIO,35
2025-2026,C.F. RAYO ENSANCHE,13
2025-2026,C.F.D. FUTURO SAN FRANCISCO,13
2025-2026,CD DV7 MADRID,14
2025-2026,CDB UNION DEPORTIVA ARGANZUELA,56
2025-2026,CDE ACADEMIA FENIX,16
2025-2026,CDE ARROW SPORTS,38
2025-2026,CDE KROMEX-FERILAN,16
2025-2026,CDE PINTO ACADEMY FC,17
2025-2026,CDE TONI KROOS ACADEMY,16
2025-2026,CDE VALMES C.F.,16
2025-2026,CELTIC CASTILLA C.F.,37
2025-2026,CLUB ALAMEDA DE OSUNA,35
2025-2026,CLUB ESCUELA DE FUTBOL CONCEPCION,15
2025-2026,CLUB SECCION DEPORTIVA DEL POZO,31
2025-2026,DEPORTIVO CIEMPOZUELOS,29
2025-2026,E.D. MORATALAZ,35
2025-2026,E.D.M. SAN BLAS,52
2025-2026,E.F. CIUDAD DE GETAFE,57
2025-2026,E.F.M.O. BOADILLA,33
2025-2026,E.M.F. MORALEJA DE ENMEDIO,18
2025-2026,EE PP SAN FERNANDO ESCOLAPIOS POZUELO,60
2025-2026,ESC. MPAL. DE FUT. AGUILAS DE MORATALAZ,19
2025-2026,ESC.FUT.AT. CASARRUBUELOS,17
2025-2026,ESCUELA DE FUTBOL ARGANDA,33
2025-2026,ESCUELA DE FUTBOL DE BRUNETE,16
2025-2026,ESCUELA DE FUTBOL DE VICALVARO,39
2025-2026,ESCUELA FUTBOL BARRIO PILAR,20
2025-2026,ESCUELA FUTBOL MADRID SUR,16
2025-2026,FEPE GETAFE III,56
2025-2026,FUNDACION ADF,19
2025-2026,GREDOS SAN DIEGO MORATALAZ,19
2025-2026,GREDOS SAN DIEGO-LAS ARTES,39
2025-2026,JUVENTUD SANSE,59
2025-2026,JUVENTUD SANSE TRINITY COLLEGE,32
2025-2026,LA MORALEJA C.F. - SAN PATRICIO,19
2025-2026,NUEVO PINTO C.F.,35
2025-2026,RAYO CIUDAD ALCOBENDAS C.F.,34
2025-2026,REAL C.D. CARABANCHEL,35
2025-2026,REAL MADRID C.F.,20
2025-2026,RECREATIVO CULTURAL NUEVO BERCIAL,20
2025-2026,RIVAS FUTBOL CLUB,40
2025-2026,S.A.D. COLEGIO SAN GABRIEL,32
2025-2026,S.A.D. ESPARTALES SUR,31
2025-2026,S.A.D. FUNDACION C.D. LEGANES,70
2025-2026,S.A.D. FUNDACION RAYO VALLECANO,63
2025-2026,SPORTING SEIS DE DICIEMBRE,18
2025-2026,U.D. ARROYOFRESNO,35
2025-2026,U.D. MOSTOLES BALOMPIE,20
2025-2026,U.D. SAN MARTIN DE LA VEGA,33
2025-2026,U.D. SAN SEBASTIAN DE LOS REYES S.A.D.,35
2025-2026,UDMELIDAOLIMPIA,15
2025-2026,UNION DEPORTIVA LA POVEDA,16
2025-2026,UNION DEPORTIVA USERA,34
2025-2026,UNION ZONA NORTE,19
2025-2026,VALLECAS C.F.,19
