club_name_raw,matches_real_total,seasons_count,seasons
A.D. OÑA SANCHINARRO,30,2,"2024-2025, 2025-2026"
C.D. DUX INTERNACIONAL DE MADRID FOOTBALL ACADEMY VILLAVICIOSA DE ODON,30,2,"2024-2025, 2025-2026"
C.D. OLIMPICO LAS ROSAS,30,2,"2024-2025, 2025-2026"
C.D. SANTA BARBARA GETAFE,30,2,"2024-2025, 2025-2026"
C.D. SANTIAGO APOSTOL VILLAVERDE,30,2,"2024-2025, 2025-2026"
C.F. INTER DE VALDEMORO,30,2,"2024-2025, 2025-2026"
ESC.FUT.AT. CASARRUBUELOS,30,2,"2024-2025, 2025-2026"
ESCUELA DE FUTBOL DE BRUNETE,30,2,"2024-2025, 2025-2026"
C.D. COLONIA MOSCARDO,29,2,"2024-2025, 2025-2026"
C.D. SEK EL CASTILLO,29,2,"2024-2025, 2025-2026"
C.F. AGUILAS DEL LUCERO,29,2,"2024-2025, 2025-2026"
CDE ACADEMIA FENIX,29,2,"2024-2025, 2025-2026"
C.D. BETIS SAN ISIDRO,28,2,"2024-2025, 2025-2026"
C.D. PUERTA DE MADRID,28,2,"2024-2025, 2025-2026"
C.D. RIVAS JARAMA,28,2,"2024-2025, 2025-2026"
A.D. NUEVO BAZTAN,27,2,"2024-2025, 2025-2026"
A.D. HENARES D.IV,26,2,"2024-2025, 2025-2026"
C.F. RAYO ENSANCHE,26,2,"2024-2025, 2025-2026"
C.F.D. FUTURO SAN FRANCISCO,26,2,"2024-2025, 2025-2026"
A.D. NAYA,25,2,"2024-2025, 2025-2026"
SECCION DEPORTIVA DEL POZO,25,1,2024-2025
CDE DR ACADEMY SPORT,23,1,2024-2025
C.D. NEWMAN,20,1,2025-2026
C.D. UNION EUROPA SANSE,20,1,2025-2026
C.D.E. NUEVO CIUDAD - CUBAS DE LA SAGRA,20,1,2025-2026
FUNDACION ADF,19,1,2025-2026
GREDOS SAN DIEGO MORATALAZ,19,1,2025-2026
C.D. CARRANZA,18,1,2025-2026
E.M.F. MORALEJA DE ENMEDIO,18,1,2025-2026
C.D. FORTUNA,17,1,2025-2026
C.D. MIRASUR,17,1,2025-2026
C.D. SAN FERNANDO,17,1,2025-2026
CDE PINTO ACADEMY FC,17,1,2025-2026
A.D.Y.C. PINTO,16,2,"2024-2025, 2025-2026"
CDE KROMEX-FERILAN,16,1,2025-2026
CDE VALMES C.F.,16,1,2025-2026
TORRELODONES C.F.,16,1,2024-2025
A.D. ARGANDA C.F.,15,1,2025-2026
A.D. FUNDACION,15,1,2024-2025
CLUB ESCUELA DE FUTBOL CONCEPCION,15,1,2025-2026
