team_id_norm,team_name_raw,competition_id_norm,competition,group_id_norm,group,result_matches,url
12521879,EE PP SAN FERNANDO ESCOLAPIOS POZUELO 'A',24037891,DEBUTANTE,24037904,Grupo 15,18,https://www.rffm.es/competicion/calendario?temporada=21&competicion=24037891&grupo=24037904&tipojuego=4
12521880,EE PP SAN FERNANDO ESCOLAPIOS POZUELO 'B',24037891,DEBUTANTE,24037904,Grupo 15,18,https://www.rffm.es/competicion/calendario?temporada=21&competicion=24037891&grupo=24037904&tipojuego=4
