club_name_raw,matches_total,seasons_count,seasons
ESCUELA FUTBOL VICALVARO,130,4,"2019-2020, 2021-2022, 2022-2023, 2023-2024"
UNION DEPORTIVA USERA,129,6,"2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
CELTIC CASTILLA C.F.,128,6,"2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
ESC. FUT. A.V. LA CHIMENEA,128,6,"2018-2019, 2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025"
SPORTING SEIS DE DICIEMBRE,127,5,"2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
A.D. ESCUELA DE FUTBOL DE CARABANCHEL,126,2,"2024-2025, 2025-2026"
UNION ZONA NORTE,126,7,"2018-2019, 2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
ATLETICO LA GARENA,125,5,"2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
C.D. MASRIVER,125,5,"2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
U.D. ARROYOFRESNO,122,5,"2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
ESCUELA DE FUTBOL DE BRUNETE,120,7,"2018-2019, 2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
ESCUELA FUTBOL BARRIO PILAR,119,7,"2018-2019, 2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
A.D. SPORTING HORTALEZA,118,5,"2019-2020, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
ESCUELA FUTBOL MADRID SUR,116,6,"2018-2019, 2019-2020, 2021-2022, 2022-2023, 2024-2025, 2025-2026"
CDB UNION DEPORTIVA ARGANZUELA,114,2,"2024-2025, 2025-2026"
A.D. HENARES D.IV,111,6,"2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
C.D. ESCUELA BREOGAN,111,4,"2018-2019, 2019-2020, 2021-2022, 2022-2023"
