season,season_id,category,competition,competition_id,group,group_id,group_label_raw,subgroup_label,source_url,scraped_at
2023-2024,19,OTHER,COPA R.F.E.F. FASE AUTONOMICA,17217772,GRUPO A,17217999,GRUPO A,,https://www.rffm.es/api/groups?competicion=17217772,2026-08-05T00:34:04.420327+00:00
2023-2024,19,OTHER,COPA R.F.E.F. FASE AUTONOMICA,17217772,GRUPO B,17219245,GRUPO B,,https://www.rffm.es/api/groups?competicion=17217772,2026-08-05T00:34:04.421293+00:00
2023-2024,19,OTHER,FINAL COPA RFEF FASE AUTONÓMICA,19526801,FINAL,19526823,FINAL,,https://www.rffm.es/api/groups?competicion=19526801,2026-08-05T00:34:04.422487+00:00
2023-2024,19,OTHER,PLAY OFF TERCERA FEDERACION,21366920,ELIMINATORIA A,21366922,ELIMINATORIA A,,https://www.rffm.es/api/groups?competicion=21366920,2026-08-05T00:34:04.423569+00:00
2023-2024,19,OTHER,PLAY OFF TERCERA FEDERACION,21366920,ELIMINATORIA B,21366931,ELIMINATORIA B,,https://www.rffm.es/api/groups?competicion=21366920,2026-08-05T00:34:04.424636+00:00
2023-2024,19,OTHER,PLAY OFF TERCERA FEDERACION,21366920,2ª ELIMINATORIA ,21407927,2ª ELIMINATORIA ,,https://www.rffm.es/api/groups?competicion=21366920,2026-08-05T00:34:04.425657+00:00
2023-2024,19,OTHER,TERCERA FEDERACION RFEF,17269022,GRUPO 7,17269132,GRUPO 7,,https://www.rffm.es/api/groups?competicion=17269022,2026-08-05T00:34:04.426664+00:00
2023-2024,19,AFICIONADO,CATEGORIA PREFERENTE,17145390,Grupo 1,17145392,Grupo 1,,https://www.rffm.es/api/groups?competicion=17145390,2026-08-05T00:34:04.427511+00:00
2023-2024,19,AFICIONADO,CATEGORIA PREFERENTE,17145390,Grupo 2,17145391,Grupo 2,,https://www.rffm.es/api/groups?competicion=17145390,2026-08-05T00:34:06.918634+00:00
2023-2024,19,AFICIONADO,COPA RFFM PREFERENTE AFICIONADOS,17229689,GRUPO A,17229718,GRUPO A,,https://www.rffm.es/api/groups?competicion=17229689,2026-08-05T00:34:06.997926+00:00
2023-2024,19,AFICIONADO,COPA RFFM PREFERENTE AFICIONADOS,17229689,GRUPO B,17229744,GRUPO B,,https://www.rffm.es/api/groups?competicion=17229689,2026-08-05T00:34:07.201006+00:00
2023-2024,19,AFICIONADO,FINAL COPA RFFM PREFERENTE AFICIONADO,19615241,FINAL,19615330,FINAL,,https://www.rffm.es/api/groups?competicion=19615241,2026-08-05T00:34:07.216266+00:00
2023-2024,19,AFICIONADO,PRIMERA DE AFICIONADOS,17145393,Grupo 1,17145394,Grupo 1,,https://www.rffm.es/api/groups?competicion=17145393,2026-08-05T00:34:07.299011+00:00
2023-2024,19,AFICIONADO,PRIMERA DE AFICIONADOS,17145393,Grupo 2,17145395,Grupo 2,,https://www.rffm.es/api/groups?competicion=17145393,2026-08-05T00:34:07.937347+00:00
2023-2024,19,AFICIONADO,PRIMERA DE AFICIONADOS,17145393,Grupo 3,17145396,Grupo 3,,https://www.rffm.es/api/groups?competicion=17145393,2026-08-05T00:34:08.262518+00:00
2023-2024,19,AFICIONADO,PRIMERA DE AFICIONADOS,17145393,Grupo 4,17145397,Grupo 4,,https://www.rffm.es/api/groups?competicion=17145393,2026-08-05T00:34:09.669401+00:00
2023-2024,19,AFICIONADO,SEGUNDA DE AFICIONADOS,17145398,Grupo 1,17145399,Grupo 1,,https://www.rffm.es/api/groups?competicion=17145398,2026-08-05T00:34:09.676089+00:00
2023-2024,19,AFICIONADO,SEGUNDA DE AFICIONADOS,17145398,Grupo 2,17145400,Grupo 2,,https://www.rffm.es/api/groups?competicion=17145398,2026-08-05T00:34:10.832282+00:00
2023-2024,19,AFICIONADO,SEGUNDA DE AFICIONADOS,17145398,Grupo 3,17145401,Grupo 3,,https://www.rffm.es/api/groups?competicion=17145398,2026-08-05T00:34:11.204149+00:00
2023-2024,19,AFICIONADO,SEGUNDA DE AFICIONADOS,17145398,Grupo 4,17145402,Grupo 4,,https://www.rffm.es/api/groups?competicion=17145398,2026-08-05T00:34:12.135967+00:00
2023-2024,19,AFICIONADO,SEGUNDA DE AFICIONADOS,17145398,Grupo 5,17145403,Grupo 5,,https://www.rffm.es/api/groups?competicion=17145398,2026-08-05T00:34:12.314662+00:00
2023-2024,19,AFICIONADO,SEGUNDA DE AFICIONADOS,17145398,Grupo 6,17145404,Grupo 6,,https://www.rffm.es/api/groups?competicion=17145398,2026-08-05T00:34:13.761684+00:00
2023-2024,19,AFICIONADO,SEGUNDA DE AFICIONADOS,17145398,Grupo 7,17145405,Grupo 7,,https://www.rffm.es/api/groups?competicion=17145398,2026-08-05T00:34:14.488833+00:00
2023-2024,19,AFICIONADO,SEGUNDA DE AFICIONADOS,17145398,Grupo 8,17145406,Grupo 8,,https://www.rffm.es/api/groups?competicion=17145398,2026-08-05T00:34:15.430814+00:00
2023-2024,19,AFICIONADO,TERCERA DE AFICIONADOS,17145407,Grupo 1,17145408,Grupo 1,,https://www.rffm.es/api/groups?competicion=17145407,2026-08-05T00:34:15.622776+00:00
2023-2024,19,AFICIONADO,TERCERA DE AFICIONADOS,17145407,Grupo 2,17145409,Grupo 2,,https://www.rffm.es/api/groups?competicion=17145407,2026-08-05T00:34:16.061759+00:00
2023-2024,19,AFICIONADO,TERCERA DE AFICIONADOS,17145407,Grupo 3,17145410,Grupo 3,,https://www.rffm.es/api/groups?competicion=17145407,2026-08-05T00:34:17.514366+00:00
2023-2024,19,AFICIONADO,TERCERA DE AFICIONADOS,17145407,Grupo 4,17145418,Grupo 4,,https://www.rffm.es/api/groups?competicion=17145407,2026-08-05T00:34:18.101622+00:00
2023-2024,19,AFICIONADO,TERCERA DE AFICIONADOS,17145407,Grupo 5,17145411,Grupo 5,,https://www.rffm.es/api/groups?competicion=17145407,2026-08-05T00:34:19.654282+00:00
2023-2024,19,AFICIONADO,TERCERA DE AFICIONADOS,17145407,Grupo 6,17145412,Grupo 6,,https://www.rffm.es/api/groups?competicion=17145407,2026-08-05T00:34:20.124694+00:00
2023-2024,19,AFICIONADO,TERCERA DE AFICIONADOS,17145407,Grupo 7,17145413,Grupo 7,,https://www.rffm.es/api/groups?competicion=17145407,2026-08-05T00:34:22.413686+00:00
2023-2024,19,AFICIONADO,TERCERA DE AFICIONADOS,17145407,Grupo 8,17145414,Grupo 8,,https://www.rffm.es/api/groups?competicion=17145407,2026-08-05T00:34:22.464921+00:00
2023-2024,19,AFICIONADO,TERCERA DE AFICIONADOS,17145407,Grupo 9,17145415,Grupo 9,,https://www.rffm.es/api/groups?competicion=17145407,2026-08-05T00:34:22.827274+00:00
2023-2024,19,AFICIONADO,TERCERA DE AFICIONADOS,17145407,Grupo 10,17145416,Grupo 10,,https://www.rffm.es/api/groups?competicion=17145407,2026-08-05T00:34:24.649885+00:00
2023-2024,19,AFICIONADO,TERCERA DE AFICIONADOS,17145407,Grupo 11,17145417,Grupo 11,,https://www.rffm.es/api/groups?competicion=17145407,2026-08-05T00:34:24.865804+00:00
2023-2024,19,AFICIONADO,TERCERA DE AFICIONADOS,17145407,Grupo 12,17145419,Grupo 12,,https://www.rffm.es/api/groups?competicion=17145407,2026-08-05T00:34:25.300344+00:00
2023-2024,19,AFICIONADO,TERCERA DE AFICIONADOS,17145407,Grupo 13,17145420,Grupo 13,,https://www.rffm.es/api/groups?competicion=17145407,2026-08-05T00:34:26.004162+00:00
