venue_id,venue_name,address,locality,province,postal_code,latitude,longitude,google_maps_url,field_type_raw,surface_raw,source_url,scraped_at
1,DEHESA MORATALAZ (HA),AVDA. DOCTOR GARCIA TAPIA 117,Madrid,Madrid,28030,40.4112061,-3.6420617,"https://www.google.com/maps?q=40.4112061,-3.6420617",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/1,2026-08-03T15:34:40.279827+00:00
102,COLEGIO NTRA. SRA. DEL BUEN CONSEJO ,CALLE DE JUAN MONTALVO 30,Madrid,Madrid,28040,40.4469618,-3.713763,"https://www.google.com/maps?q=40.4469618,-3.713763",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/102,2026-08-03T15:34:40.849126+00:00
1021860,ALCORCON - VICENTE DEL BOSQUE (HA),CALLE POLVORANCA S/N,Alcorcón,Madrid,28923,40.3416727,-3.818636699999999,"https://www.google.com/maps?q=40.3416727,-3.818636699999999",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/1021860,2026-08-03T15:34:41.561116+00:00
10225607,SAN LORENZO DE EL ESCORIAL - PVO. EL ZABURDÓN (HA),CALLE LAS POZAS 183,San Lorenzo De El Escorial,Madrid,28200,40.602314,-4.1271494,"https://www.google.com/maps?q=40.602314,-4.1271494",Fútbol 7,Hierba Artificial,https://www.rffm.es/campo/10225607,2026-08-03T15:34:42.655423+00:00
10231856,S.S. REYES - TRINITY COLLEGE (HA),CALLE HOCES DEL DURATÓN 4,San Sebastián De Los Reyes,Madrid,28706,40.6019659,-3.5830093,"https://www.google.com/maps?q=40.6019659,-3.5830093",Fútbol 7,Hierba Artificial,https://www.rffm.es/campo/10231856,2026-08-03T15:34:43.625161+00:00
10288947,PALOMERAS BAJAS (HA),CALLE PUERTO DE BALBARÁN 18,Madrid,Madrid,28018,40.3765225,-3.657919,"https://www.google.com/maps?q=40.3765225,-3.657919",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/10288947,2026-08-03T15:34:44.155941+00:00
106,VALDEYEROS (HA),CALLE DE ROSALIA DE CASTRO 77,Madrid,Madrid,28035,40.4839109,-3.7302798,"https://www.google.com/maps?q=40.4839109,-3.7302798",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/106,2026-08-03T15:34:44.941092+00:00
10654208,VILLANUEVA DEL PARDILLO - COLEGIO VALLMONT (HA),CALLE MALLORCA 2,Villanueva del Pardillo,Madrid,28229,40.4865429,-3.967198,"https://www.google.com/maps?q=40.4865429,-3.967198",Fútbol 7,Hierba Artificial,https://www.rffm.es/campo/10654208,2026-08-03T15:34:45.644756+00:00
1101,ALCOBENDAS - PVO. JOSÉ CABALLERO (HA),"AVDA. TRANSICIÓN ESPAÑOLA, S/N",Alcobendas,Madrid,28108,40.5371903,-3.6237015,"https://www.google.com/maps?q=40.5371903,-3.6237015",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/1101,2026-08-03T15:34:46.914070+00:00
1101152,I.D.M. TORRESPAÑA (HA),CALLE DEL ALCALDE SÁIZ DE BARANDA 94,Madrid,Madrid,28007,40.4210932,-3.661096,"https://www.google.com/maps?q=40.4210932,-3.661096",Fútbol 7,Hierba Artificial,https://www.rffm.es/campo/1101152,2026-08-03T15:34:48.107676+00:00
