player_id,season,season_id,competition_id,competition,group_id,group,team_id,team,club_name_raw,team_position,team_points,source_url,scraped_at
10002964,2023-2024,19,17145505,SEGUNDA CADETE,17145535,Grupo 31,364272,A.D. FUNDACION 'C',FUNDACION ADF,2,64,https://www.rffm.es/fichajugador/10002964?temporada=19,2026-08-06T09:19:48.386058+00:00
10002183,2023-2024,19,17145446,SEGUNDA JUVENIL,17145460,Grupo 18,1272,C.D. SAN CRISTOBAL DE LOS ANGELES ,C.D. SAN CRISTOBAL DE LOS ANGELES,12,24,https://www.rffm.es/fichajugador/10002183?temporada=19,2026-08-06T09:19:48.716427+00:00
10004610,2023-2024,19,17145505,SEGUNDA CADETE,19704527,Grupo 36,975,ESC.F. JUVENTUD MADRID 'B',ESCUELA FUTBOL JUVENTUD MADRID,6,49,https://www.rffm.es/fichajugador/10004610?temporada=19,2026-08-06T09:19:49.199168+00:00
10003337,2023-2024,19,17145570,SEGUNDA INFANTIL,17145576,Grupo 6,300346,C.D. ALDOVEA 'B',C.D. ALDOVEA,5,49,https://www.rffm.es/fichajugador/10003337?temporada=19,2026-08-06T09:19:49.209274+00:00
10003610,2023-2024,19,17145446,SEGUNDA JUVENIL,19527173,Grupo 28,1031201,C.D. VILLA DEL PRADO 'B',C.D. VILLA DEL PRADO,15,3,https://www.rffm.es/fichajugador/10003610?temporada=19,2026-08-06T09:19:49.306605+00:00
10004735,2023-2024,19,17145505,SEGUNDA CADETE,19704526,Grupo 35,8970519,A.D. MADRID SUR 'A',A.D. MADRID SUR,6,45,https://www.rffm.es/fichajugador/10004735?temporada=19,2026-08-06T09:19:49.383363+00:00
10004305,2023-2024,19,17145553,PRIMERA INFANTIL,17145559,Grupo 6,4945058,ESC. MPAL. FUT. HUMANES 'C',ESCUELA MUNICIPAL FUTBOL HUMANES,12,15,https://www.rffm.es/fichajugador/10004305?temporada=19,2026-08-06T09:19:49.430576+00:00
10004150,2023-2024,19,17145505,SEGUNDA CADETE,17145522,Grupo 17,334101,A.D. CADALSO ,A.D. CADALSO,2,64,https://www.rffm.es/fichajugador/10004150?temporada=19,2026-08-06T09:19:49.499680+00:00
10004765,2023-2024,19,17145624,PRIMERA ALEVIN,17145634,Grupo 10,13650729,C.D. VILLA DEL PRADO ,C.D. VILLA DEL PRADO,4,55,https://www.rffm.es/fichajugador/10004765?temporada=19,2026-08-06T09:19:49.505419+00:00
10004765,2023-2024,19,17145570,SEGUNDA INFANTIL,17145594,Grupo 24,423,C.D. VILLA DEL PRADO 'A',C.D. VILLA DEL PRADO,2,57,https://www.rffm.es/fichajugador/10004765?temporada=19,2026-08-06T09:19:49.505419+00:00
10004744,2023-2024,19,17145570,SEGUNDA INFANTIL,17145578,Grupo 8,2459,A.D. COMPLUTENSE ALCALA 'D',A.D. COMPLUTENSE ALCALA,7,50,https://www.rffm.es/fichajugador/10004744?temporada=19,2026-08-06T09:19:49.556204+00:00
10004840,2023-2024,19,17145539,PRIMERA DIVISION AUTONOMICA INFANTIL,17145540,Grupo 1,846595,RAYO CIUDAD ALCOBENDAS C.F. 'B',RAYO CIUDAD ALCOBENDAS C.F.,2,51,https://www.rffm.es/fichajugador/10004840?temporada=19,2026-08-06T09:19:50.078077+00:00
10004937,2023-2024,19,17145570,SEGUNDA INFANTIL,17145606,Grupo 37,3361161,C.D. COLONIA MOSCARDO 'C',C.D. COLONIA MOSCARDO,10,23,https://www.rffm.es/fichajugador/10004937?temporada=19,2026-08-06T09:19:50.495814+00:00
10005698,2023-2024,19,17145570,SEGUNDA INFANTIL,19704841,Grupo 43,202,A.D. COLMENAR VIEJO 'C',A.D. COLMENAR VIEJO,1,70,https://www.rffm.es/fichajugador/10005698?temporada=19,2026-08-06T09:19:50.916238+00:00
10005345,2023-2024,19,17145570,SEGUNDA INFANTIL,17145588,Grupo 18,4944992,C.D. SP&AL FUENLABRADA 'A',C.D. SP&AL FUENLABRADA,1,68,https://www.rffm.es/fichajugador/10005345?temporada=19,2026-08-06T09:19:51.009198+00:00
10005064,2023-2024,19,17145624,PRIMERA ALEVIN,17145625,Grupo 1,1748,E.F.M.O. BOADILLA 'C',E.F.M.O. BOADILLA,8,22,https://www.rffm.es/fichajugador/10005064?temporada=19,2026-08-06T09:19:51.018226+00:00
10005451,2023-2024,19,17145553,PRIMERA INFANTIL,17145568,Grupo 15,977,ESC.F. JUVENTUD MADRID 'B',ESCUELA FUTBOL JUVENTUD MADRID,12,15,https://www.rffm.es/fichajugador/10005451?temporada=19,2026-08-06T09:19:51.121305+00:00
10005031,2023-2024,19,17145505,SEGUNDA CADETE,17145520,Grupo 15,15290471,S.A.D. IVERO 'C',S.A.D. IVERO,13,12,https://www.rffm.es/fichajugador/10005031?temporada=19,2026-08-06T09:19:51.125106+00:00
10006004,2023-2024,19,17145570,SEGUNDA INFANTIL,17145595,Grupo 25,15368586,C.F. COLLADO VILLALBA 'D',C.F. COLLADO VILLALBA,14,0,https://www.rffm.es/fichajugador/10006004?temporada=19,2026-08-06T09:19:51.315073+00:00
