team_id,team,team_name_raw,club_name_raw,squad_suffix,source_team_url,scraped_at
2172,C.F. FUENLABRADA S.A.D. A,C.F. FUENLABRADA S.A.D. 'A',C.F. FUENLABRADA S.A.D.,A,/fichaequipo/2172,2026-08-05T00:34:06.918331+00:00
407,U.D. SAN SEBASTIAN REYES A,U.D. SAN SEBASTIAN REYES 'A',U.D. SAN SEBASTIAN REYES,A,/fichaequipo/407,2026-08-05T00:34:07.215965+00:00
293,LAS ROZAS C.F. A,LAS ROZAS C.F. 'A',LAS ROZAS C.F.,A,/fichaequipo/293,2026-08-05T00:34:08.261896+00:00
71,R.S.D. ALCALA S.A.D.,R.S.D. ALCALA S.A.D.,R.S.D. ALCALA S.A.D.,,/fichaequipo/71,2026-08-05T00:34:08.261896+00:00
1873,C.F. POZUELO DE ALARCON A,C.F. POZUELO DE ALARCON 'A',C.F. POZUELO DE ALARCON,A,/fichaequipo/1873,2026-08-05T00:34:08.261896+00:00
1592,A.D. UNION ADARVE A,A.D. UNION ADARVE 'A',A.D. UNION ADARVE,A,/fichaequipo/1592,2026-08-05T00:34:07.215965+00:00
2363,A.D. TORREJON C.F. A,A.D. TORREJON C.F. 'A',A.D. TORREJON C.F.,A,/fichaequipo/2363,2026-08-05T00:34:08.261896+00:00
2127,C.D. MOSTOLES U.R.J.C. A,C.D. MOSTOLES U.R.J.C. 'A',C.D. MOSTOLES U.R.J.C.,A,/fichaequipo/2127,2026-08-05T00:34:08.261896+00:00
85,C.D. COLONIA MOSCARDO A,C.D. COLONIA MOSCARDO 'A',C.D. COLONIA MOSCARDO,A,/fichaequipo/85,2026-08-05T00:34:08.261896+00:00
94,C.D. LEGANES S.A.D. B,C.D. LEGANES S.A.D. 'B',C.D. LEGANES S.A.D.,B,/fichaequipo/94,2026-08-05T00:34:08.261896+00:00
58,RAYO VALLECANO DE MADRID S.A.D. B,RAYO VALLECANO DE MADRID S.A.D. 'B',RAYO VALLECANO DE MADRID S.A.D.,B,/fichaequipo/58,2026-08-05T00:34:08.261896+00:00
311,A.D. PARLA A,A.D. PARLA 'A',A.D. PARLA,A,/fichaequipo/311,2026-08-05T00:34:08.261896+00:00
479,C.D. CANILLAS A,C.D. CANILLAS 'A',C.D. CANILLAS,A,/fichaequipo/479,2026-08-05T00:34:08.261896+00:00
2027,C.D. FUTBOL TRES CANTOS A,C.D. FUTBOL TRES CANTOS 'A',C.D. FUTBOL TRES CANTOS,A,/fichaequipo/2027,2026-08-05T00:34:08.261896+00:00
1563,C.F. TRIVAL VALDERAS ALCORCON,C.F. TRIVAL VALDERAS ALCORCON,C.F. TRIVAL VALDERAS ALCORCON,,/fichaequipo/1563,2026-08-05T00:34:08.261896+00:00
1619,CLUB UNION COLLADO VILLALBA A,CLUB UNION COLLADO VILLALBA 'A',CLUB UNION COLLADO VILLALBA,A,/fichaequipo/1619,2026-08-05T00:34:08.261896+00:00
280,A.D. ALCORCON S.A.D. B,A.D. ALCORCON S.A.D. 'B',A.D. ALCORCON S.A.D.,B,/fichaequipo/280,2026-08-05T00:34:08.261896+00:00
1532,F.C. VILLANUEVA DEL PARDILLO A,F.C. VILLANUEVA DEL PARDILLO 'A',F.C. VILLANUEVA DEL PARDILLO,A,/fichaequipo/1532,2026-08-05T00:34:08.261896+00:00
2002,PARACUELLOS MX S.A.D. A,PARACUELLOS MX S.A.D. 'A',PARACUELLOS MX S.A.D.,A,/fichaequipo/2002,2026-08-05T00:34:08.261896+00:00
17199331,REAL MADRID C.F. C,REAL MADRID C.F. 'C',REAL MADRID C.F.,C,/fichaequipo/17199331,2026-08-05T00:34:08.261896+00:00
438,C.D. GALAPAGAR A,C.D. GALAPAGAR 'A',C.D. GALAPAGAR,A,/fichaequipo/438,2026-08-05T00:34:08.261896+00:00
171,A.D. CALA POZUELO A,A.D. CALA POZUELO 'A',A.D. CALA POZUELO,A,/fichaequipo/171,2026-08-05T00:34:10.831652+00:00
2749,ROBLEDO C.F. A,ROBLEDO C.F. 'A',ROBLEDO C.F.,A,/fichaequipo/2749,2026-08-05T00:34:10.831652+00:00
685,C.D. COSLADA A,C.D. COSLADA 'A',C.D. COSLADA,A,/fichaequipo/685,2026-08-05T00:34:10.831652+00:00
596,C.D. VICALVARO,C.D. VICALVARO,C.D. VICALVARO,,/fichaequipo/596,2026-08-05T00:34:10.831652+00:00
119,C.D. SAN FERNANDO A,C.D. SAN FERNANDO 'A',C.D. SAN FERNANDO,A,/fichaequipo/119,2026-08-05T00:34:10.831652+00:00
1387,ALAMEDA DE OSUNA ESCUELAS DE F A,ALAMEDA DE OSUNA ESCUELAS DE F 'A',ALAMEDA DE OSUNA ESCUELAS DE F,A,/fichaequipo/1387,2026-08-05T00:34:10.831652+00:00
466771,A.D. SPORTING HORTALEZA A,A.D. SPORTING HORTALEZA 'A',A.D. SPORTING HORTALEZA,A,/fichaequipo/466771,2026-08-05T00:34:10.831652+00:00
106,ARAVACA C.F. - Bhhs Spain A,ARAVACA C.F. - Bhhs Spain 'A',ARAVACA C.F. - Bhhs Spain,A,/fichaequipo/106,2026-08-05T00:34:11.203814+00:00
2364,A.D. TORREJON C.F. B,A.D. TORREJON C.F. 'B',A.D. TORREJON C.F.,B,/fichaequipo/2364,2026-08-05T00:34:10.831652+00:00
4928299,C.D. UNION VALDEBERNARDO A,C.D. UNION VALDEBERNARDO 'A',C.D. UNION VALDEBERNARDO,A,/fichaequipo/4928299,2026-08-05T00:34:10.831652+00:00
408,U.D. SAN SEBASTIAN REYES B,U.D. SAN SEBASTIAN REYES 'B',U.D. SAN SEBASTIAN REYES,B,/fichaequipo/408,2026-08-05T00:34:10.831652+00:00
370,ESCUELA FUTBOL CONCEPCION A,ESCUELA FUTBOL CONCEPCION 'A',ESCUELA FUTBOL CONCEPCION,A,/fichaequipo/370,2026-08-05T00:34:10.831652+00:00
2728977,LA MORALEJA C.F. A,LA MORALEJA C.F. 'A',LA MORALEJA C.F.,A,/fichaequipo/2728977,2026-08-05T00:34:10.831652+00:00
623,E.D. MORATALAZ A,E.D. MORATALAZ 'A',E.D. MORATALAZ,A,/fichaequipo/623,2026-08-05T00:34:09.675753+00:00
6817352,UNION ZONA NORTE A,UNION ZONA NORTE 'A',UNION ZONA NORTE,A,/fichaequipo/6817352,2026-08-05T00:34:09.675753+00:00
526441,LAS ROZAS C.F. B,LAS ROZAS C.F. 'B',LAS ROZAS C.F.,B,/fichaequipo/526441,2026-08-05T00:34:10.831652+00:00
2594,C.F. SAN AGUSTIN DE GUADALIX A,C.F. SAN AGUSTIN DE GUADALIX 'A',C.F. SAN AGUSTIN DE GUADALIX,A,/fichaequipo/2594,2026-08-05T00:34:09.669021+00:00
193,A.D. COLMENAR VIEJO A,A.D. COLMENAR VIEJO 'A',A.D. COLMENAR VIEJO,A,/fichaequipo/193,2026-08-05T00:34:10.831652+00:00
1991,C.D. SITIO DE ARANJUEZ,C.D. SITIO DE ARANJUEZ,C.D. SITIO DE ARANJUEZ,,/fichaequipo/1991,2026-08-05T00:34:15.622229+00:00
6826481,S.A.D. VILLAVERDE SAN ANDRES,S.A.D. VILLAVERDE SAN ANDRES,S.A.D. VILLAVERDE SAN ANDRES,,/fichaequipo/6826481,2026-08-05T00:34:15.622229+00:00
1245,C.D. LOS YEBENES-SAN BRUNO A,C.D. LOS YEBENES-SAN BRUNO 'A',C.D. LOS YEBENES-SAN BRUNO,A,/fichaequipo/1245,2026-08-05T00:34:15.622229+00:00
117,REAL ARANJUEZ C.F.,REAL ARANJUEZ C.F.,REAL ARANJUEZ C.F.,,/fichaequipo/117,2026-08-05T00:34:15.622229+00:00
