season,competition_id,group_id,team_id,player_name,goals,source_url,scraped_at
2023-2024,17217772,17217999,407,"ARASA FORT, ANDREU",3,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17217772&grupo=17217999&tipojuego=1,2026-08-05T00:34:06.918278+00:00
2023-2024,17217772,17217999,2172,"NIETO VELA, DANIEL",2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17217772&grupo=17217999&tipojuego=1,2026-08-05T00:34:06.918278+00:00
2023-2024,17217772,17217999,293,"GARCIA QUIVIRA, IVAN",1,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17217772&grupo=17217999&tipojuego=1,2026-08-05T00:34:06.918278+00:00
2023-2024,17217772,17217999,293,"GARCIA BARROSO, DANIEL",1,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17217772&grupo=17217999&tipojuego=1,2026-08-05T00:34:06.918278+00:00
2023-2024,17217772,17217999,2172,"FERNANDEZ MURET, MAXIM",1,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17217772&grupo=17217999&tipojuego=1,2026-08-05T00:34:06.918278+00:00
2023-2024,17217772,17217999,2172,"MARQUEZ CRESPO, CRISTOBAL",1,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17217772&grupo=17217999&tipojuego=1,2026-08-05T00:34:06.918278+00:00
2023-2024,17217772,17217999,293,"GOMEZ SERRANO, FRANCISCO JAVIER",1,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17217772&grupo=17217999&tipojuego=1,2026-08-05T00:34:06.918278+00:00
2023-2024,17217772,17217999,407,"CARRILLO GIMENEZ, MARCOS",1,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17217772&grupo=17217999&tipojuego=1,2026-08-05T00:34:06.918278+00:00
2023-2024,17217772,17217999,407,"LUQUE MARTINEZ, ADRIAN",1,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17217772&grupo=17217999&tipojuego=1,2026-08-05T00:34:06.918278+00:00
2023-2024,17217772,17217999,71,"AMOAKO ATTA, KOFI",1,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17217772&grupo=17217999&tipojuego=1,2026-08-05T00:34:06.918278+00:00
