season,season_id,category,competition,competition_id,group,group_id,game_type,game_type_id,phase_label,matchday,matchday_label,match_id,home_team,home_team_id,away_team,away_team_id,home_score,away_score,match_date,match_time,match_datetime_raw,venue,venue_id,status,is_finished,is_scheduled,result_text_raw,source_url,source_type,scraped_at
2021-2022,17,BENJAMIN,PRIMERA DIVISION AUTONOMICA BENJAMIN F7,13693975,GRUPO 1,14213240,Futbol-7,2,regular_season,1.0,1 (16-10-2021),1464582,C.F. RAYO MAJADAHONDA 'A',2216,C.F. RAYO MAJADAHONDA 'B',2217,7.0,2.0,2021-10-15,17:30,15-10-2021 17:30,MAJADAHONDA - INST. DEP. LA OLIVA - CTRO. OESTE (HA)(HA),1216,finished,True,True,7-2,https://www.rffm.es/competicion/calendario?temporada=17&competicion=13693975&grupo=14213240&jornada=1&tipojuego=2,calendario_page,2026-08-03T20:07:39.011854+00:00
2021-2022,17,BENJAMIN,PRIMERA DIVISION AUTONOMICA BENJAMIN F7,13693975,GRUPO 1,14213240,Futbol-7,2,regular_season,1.0,1 (16-10-2021),1464588,Equipo Casa (No asignado),,C.F. COLLADO VILLALBA 'A',1059795,,,,,,,,unscheduled,False,False,,https://www.rffm.es/competicion/calendario?temporada=17&competicion=13693975&grupo=14213240&jornada=1&tipojuego=2,calendario_page,2026-08-03T20:07:39.011854+00:00
2021-2022,17,BENJAMIN,PRIMERA DIVISION AUTONOMICA BENJAMIN F7,13693975,GRUPO 1,14213240,Futbol-7,2,regular_season,1.0,1 (16-10-2021),1464583,C.D.E. F.P.A. LAS ROZAS 'B',6821041,C.D.E. F.P.A. LAS ROZAS 'A',6821040,0.0,5.0,2021-10-16,09:00,16-10-2021 09:00,BOADILLA - PVO. MUNICIPAL ANGEL NIETO 3 (HA)(HA),12286992,finished,True,True,0-5,https://www.rffm.es/competicion/calendario?temporada=17&competicion=13693975&grupo=14213240&jornada=1&tipojuego=2,calendario_page,2026-08-03T20:07:39.011854+00:00
2021-2022,17,BENJAMIN,PRIMERA DIVISION AUTONOMICA BENJAMIN F7,13693975,GRUPO 1,14213240,Futbol-7,2,regular_season,1.0,1 (16-10-2021),1464584,C.D. RETAMAR,1544,E.F.M.O. BOADILLA 'A',1750,2.0,6.0,2021-10-16,10:00,16-10-2021 10:00,BOADILLA - PVO. MUNICIPAL ANGEL NIETO 3 (HA)(HA),12286992,finished,True,True,2-6,https://www.rffm.es/competicion/calendario?temporada=17&competicion=13693975&grupo=14213240&jornada=1&tipojuego=2,calendario_page,2026-08-03T20:07:39.011854+00:00
2021-2022,17,BENJAMIN,PRIMERA DIVISION AUTONOMICA BENJAMIN F7,13693975,GRUPO 1,14213240,Futbol-7,2,regular_season,1.0,1 (16-10-2021),1503670,ATLETICO VILLALBA 'A',466977,ESC. MUN. FUT. VILLAREJO 'A',526034,2.0,4.0,2021-10-16,11:00,16-10-2021 11:00,BOADILLA - PVO. MUNICIPAL ANGEL NIETO 3 (HA)(HA),12286992,finished,True,True,2-4,https://www.rffm.es/competicion/calendario?temporada=17&competicion=13693975&grupo=14213240&jornada=1&tipojuego=2,calendario_page,2026-08-03T20:07:39.011854+00:00
2021-2022,17,BENJAMIN,PRIMERA DIVISION AUTONOMICA BENJAMIN F7,13693975,GRUPO 1,14213240,Futbol-7,2,regular_season,1.0,1 (16-10-2021),1464586,LAS ROZAS C.F. 'A',305,EEPP SAN FERNANDO ESCOLAPIOS POZUELO 'A',300164,9.0,2.0,2021-10-16,12:00,16-10-2021 12:00,BOADILLA - PVO. MUNICIPAL ANGEL NIETO 3 (HA)(HA),12286992,finished,True,True,9-2,https://www.rffm.es/competicion/calendario?temporada=17&competicion=13693975&grupo=14213240&jornada=1&tipojuego=2,calendario_page,2026-08-03T20:07:39.011854+00:00
2021-2022,17,BENJAMIN,PRIMERA DIVISION AUTONOMICA BENJAMIN F7,13693975,GRUPO 1,14213240,Futbol-7,2,regular_season,1.0,1 (16-10-2021),1464587,C.D. GALAPAGAR 'A',304710,C.D. NUEVO BOADILLA 'A',334123,1.0,9.0,2021-10-16,13:00,16-10-2021 13:00,BOADILLA - PVO. MUNICIPAL ANGEL NIETO 3 (HA)(HA),12286992,finished,True,True,1-9,https://www.rffm.es/competicion/calendario?temporada=17&competicion=13693975&grupo=14213240&jornada=1&tipojuego=2,calendario_page,2026-08-03T20:07:39.011854+00:00
2021-2022,17,BENJAMIN,PRIMERA DIVISION AUTONOMICA BENJAMIN F7,13693975,GRUPO 1,14213240,Futbol-7,2,regular_season,2.0,2 (23-10-2021),1464589,C.F. RAYO MAJADAHONDA 'B',2217,Equipo Fuera (No asignado),,,,,,,,,unscheduled,False,False,,https://www.rffm.es/competicion/calendario?temporada=17&competicion=13693975&grupo=14213240&jornada=1&tipojuego=2,calendario_page,2026-08-03T20:07:39.011854+00:00
2021-2022,17,BENJAMIN,PRIMERA DIVISION AUTONOMICA BENJAMIN F7,13693975,GRUPO 1,14213240,Futbol-7,2,regular_season,2.0,2 (23-10-2021),1464590,C.D.E. F.P.A. LAS ROZAS 'A',6821040,C.F. RAYO MAJADAHONDA 'A',2216,2.0,2.0,2021-10-23,09:00,23-10-2021 09:00,BOADILLA - PVO. MUNICIPAL ANGEL NIETO 3 (HA)(HA),12286992,finished,True,True,2-2,https://www.rffm.es/competicion/calendario?temporada=17&competicion=13693975&grupo=14213240&jornada=1&tipojuego=2,calendario_page,2026-08-03T20:07:39.011854+00:00
2021-2022,17,BENJAMIN,PRIMERA DIVISION AUTONOMICA BENJAMIN F7,13693975,GRUPO 1,14213240,Futbol-7,2,regular_season,2.0,2 (23-10-2021),1464591,E.F.M.O. BOADILLA 'A',1750,C.D.E. F.P.A. LAS ROZAS 'B',6821041,8.0,0.0,2021-10-23,10:00,23-10-2021 10:00,BOADILLA - PVO. MUNICIPAL ANGEL NIETO 3 (HA)(HA),12286992,finished,True,True,8-0,https://www.rffm.es/competicion/calendario?temporada=17&competicion=13693975&grupo=14213240&jornada=1&tipojuego=2,calendario_page,2026-08-03T20:07:39.011854+00:00
