page_kind,group_id,competition_id,season_id,game_type_id,url,raw_saved_path
calendario,14213240,13693975,17,2,https://www.rffm.es/competicion/calendario?temporada=17&competicion=13693975&grupo=14213240&tipojuego=2,output/raw/rffm/benjamin/2021-2022/calendario/14213240.html
clasificaciones,14213240,13693975,17,2,https://www.rffm.es/competicion/clasificaciones?temporada=17&competicion=13693975&grupo=14213240&tipojuego=2,output/raw/rffm/benjamin/2021-2022/clasificaciones/14213240.html
goleadores,14213240,13693975,17,2,https://www.rffm.es/competicion/goleadores?temporada=17&competicion=13693975&grupo=14213240&tipojuego=2,output/raw/rffm/benjamin/2021-2022/goleadores/14213240.html
calendario,14213313,13693975,17,2,https://www.rffm.es/competicion/calendario?temporada=17&competicion=13693975&grupo=14213313&tipojuego=2,output/raw/rffm/benjamin/2021-2022/calendario/14213313.html
clasificaciones,14213313,13693975,17,2,https://www.rffm.es/competicion/clasificaciones?temporada=17&competicion=13693975&grupo=14213313&tipojuego=2,output/raw/rffm/benjamin/2021-2022/clasificaciones/14213313.html
goleadores,14213313,13693975,17,2,https://www.rffm.es/competicion/goleadores?temporada=17&competicion=13693975&grupo=14213313&tipojuego=2,output/raw/rffm/benjamin/2021-2022/goleadores/14213313.html
calendario,14213363,13693975,17,2,https://www.rffm.es/competicion/calendario?temporada=17&competicion=13693975&grupo=14213363&tipojuego=2,output/raw/rffm/benjamin/2021-2022/calendario/14213363.html
clasificaciones,14213363,13693975,17,2,https://www.rffm.es/competicion/clasificaciones?temporada=17&competicion=13693975&grupo=14213363&tipojuego=2,output/raw/rffm/benjamin/2021-2022/clasificaciones/14213363.html
goleadores,14213363,13693975,17,2,https://www.rffm.es/competicion/goleadores?temporada=17&competicion=13693975&grupo=14213363&tipojuego=2,output/raw/rffm/benjamin/2021-2022/goleadores/14213363.html
calendario,14213437,13693975,17,2,https://www.rffm.es/competicion/calendario?temporada=17&competicion=13693975&grupo=14213437&tipojuego=2,output/raw/rffm/benjamin/2021-2022/calendario/14213437.html
clasificaciones,14213437,13693975,17,2,https://www.rffm.es/competicion/clasificaciones?temporada=17&competicion=13693975&grupo=14213437&tipojuego=2,output/raw/rffm/benjamin/2021-2022/clasificaciones/14213437.html
goleadores,14213437,13693975,17,2,https://www.rffm.es/competicion/goleadores?temporada=17&competicion=13693975&grupo=14213437&tipojuego=2,output/raw/rffm/benjamin/2021-2022/goleadores/14213437.html
calendario,14213602,13693975,17,2,https://www.rffm.es/competicion/calendario?temporada=17&competicion=13693975&grupo=14213602&tipojuego=2,output/raw/rffm/benjamin/2021-2022/calendario/14213602.html
clasificaciones,14213602,13693975,17,2,https://www.rffm.es/competicion/clasificaciones?temporada=17&competicion=13693975&grupo=14213602&tipojuego=2,output/raw/rffm/benjamin/2021-2022/clasificaciones/14213602.html
goleadores,14213602,13693975,17,2,https://www.rffm.es/competicion/goleadores?temporada=17&competicion=13693975&grupo=14213602&tipojuego=2,output/raw/rffm/benjamin/2021-2022/goleadores/14213602.html
calendario,14213690,13693975,17,2,https://www.rffm.es/competicion/calendario?temporada=17&competicion=13693975&grupo=14213690&tipojuego=2,output/raw/rffm/benjamin/2021-2022/calendario/14213690.html
clasificaciones,14213690,13693975,17,2,https://www.rffm.es/competicion/clasificaciones?temporada=17&competicion=13693975&grupo=14213690&tipojuego=2,output/raw/rffm/benjamin/2021-2022/clasificaciones/14213690.html
goleadores,14213690,13693975,17,2,https://www.rffm.es/competicion/goleadores?temporada=17&competicion=13693975&grupo=14213690&tipojuego=2,output/raw/rffm/benjamin/2021-2022/goleadores/14213690.html
calendario,14213757,13693975,17,2,https://www.rffm.es/competicion/calendario?temporada=17&competicion=13693975&grupo=14213757&tipojuego=2,output/raw/rffm/benjamin/2021-2022/calendario/14213757.html
clasificaciones,14213757,13693975,17,2,https://www.rffm.es/competicion/clasificaciones?temporada=17&competicion=13693975&grupo=14213757&tipojuego=2,output/raw/rffm/benjamin/2021-2022/clasificaciones/14213757.html
goleadores,14213757,13693975,17,2,https://www.rffm.es/competicion/goleadores?temporada=17&competicion=13693975&grupo=14213757&tipojuego=2,output/raw/rffm/benjamin/2021-2022/goleadores/14213757.html
calendario,14213799,13693975,17,2,https://www.rffm.es/competicion/calendario?temporada=17&competicion=13693975&grupo=14213799&tipojuego=2,output/raw/rffm/benjamin/2021-2022/calendario/14213799.html
clasificaciones,14213799,13693975,17,2,https://www.rffm.es/competicion/clasificaciones?temporada=17&competicion=13693975&grupo=14213799&tipojuego=2,output/raw/rffm/benjamin/2021-2022/clasificaciones/14213799.html
goleadores,14213799,13693975,17,2,https://www.rffm.es/competicion/goleadores?temporada=17&competicion=13693975&grupo=14213799&tipojuego=2,output/raw/rffm/benjamin/2021-2022/goleadores/14213799.html
calendario,15276640,15267384,17,2,https://www.rffm.es/competicion/calendario?temporada=17&competicion=15267384&grupo=15276640&tipojuego=2,output/raw/rffm/benjamin/2021-2022/calendario/15276640.html
