season,season_id,category_base,category_label_raw,is_femenino,division_level,competition,competition_id,phase_label,game_type,game_type_id,source_url,scraped_at
2019-2020,15,OTHER,TERCERA FEDERACION,False,TERCERA FEDERACION,COPA R.F.F.M. - 3ª DIVISION,10667458,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=15&tipojuego=1,2026-08-05T01:23:54.872429+00:00
2019-2020,15,OTHER,TERCERA FEDERACION,False,TERCERA FEDERACION,COPA R.F.F.M. - 3ª DIVISION - FINAL,10723181,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=15&tipojuego=1,2026-08-05T01:23:54.874413+00:00
2019-2020,15,OTHER,TERCERA FEDERACION,False,TERCERA FEDERACION,PLAY-OFF DE ASCENSO A 2ª DIVISION B,12234409,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=15&tipojuego=1,2026-08-05T01:23:54.875388+00:00
2019-2020,15,OTHER,TERCERA FEDERACION,False,TERCERA FEDERACION,TERCERA DIVISION NACIONAL,10723208,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=15&tipojuego=1,2026-08-05T01:23:54.876338+00:00
2019-2020,15,OTHER,TERCERA FEDERACION,False,TERCERA FEDERACION,TORNEO COPA R.F.E.F,10906608,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=15&tipojuego=1,2026-08-05T01:23:54.877603+00:00
2019-2020,15,AFICIONADO,PRIMERA DIVISION AUTONOMICA AFICIONADO,False,PRIMERA DIVISION AUTONOMICA,CATEGORIA PREFERENTE,10723209,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=15&tipojuego=1,2026-08-05T01:23:54.878696+00:00
2019-2020,15,AFICIONADO,PREFERENTE AFICIONADO,False,PREFERENTE,PRIMERA DE AFICIONADOS,10723212,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=15&tipojuego=1,2026-08-05T01:23:57.686597+00:00
2019-2020,15,AFICIONADO,PRIMERA AFICIONADO,False,PRIMERA,SEGUNDA DE AFICIONADOS,10723213,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=15&tipojuego=1,2026-08-05T01:23:58.265108+00:00
2019-2020,15,AFICIONADO,SEGUNDA AFICIONADO,False,SEGUNDA,TERCERA DE AFICIONADOS,10723214,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=15&tipojuego=1,2026-08-05T01:24:08.800208+00:00
2019-2020,15,JUVENIL,DIVISION DE HONOR JUVENIL,False,DIVISION DE HONOR,DIVISION DE HONOR DE JUVENILES,10723232,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=15&tipojuego=1,2026-08-05T01:24:24.462629+00:00
2019-2020,15,JUVENIL,LIGA NACIONAL JUVENIL,False,LIGA NACIONAL,NACIONAL JUVENIL,10723249,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=15&tipojuego=1,2026-08-05T01:24:24.694203+00:00
2019-2020,15,JUVENIL,PRIMERA DIVISION AUTONOMICA JUVENIL,False,PRIMERA DIVISION AUTONOMICA,PRIMERA DIVISION AUTONOMICA JUVENIL,10723269,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=15&tipojuego=1,2026-08-05T01:24:27.518940+00:00
2019-2020,15,JUVENIL,PREFERENTE JUVENIL,False,PREFERENTE,PREFERENTE JUVENIL,10723272,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=15&tipojuego=1,2026-08-05T01:24:27.915323+00:00
2019-2020,15,JUVENIL,PRIMERA JUVENIL,False,PRIMERA,PRIMERA JUVENIL,10723273,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=15&tipojuego=1,2026-08-05T01:24:32.744716+00:00
2019-2020,15,JUVENIL,SEGUNDA JUVENIL,False,SEGUNDA,SEGUNDA JUVENIL,10723276,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=15&tipojuego=1,2026-08-05T01:24:39.090245+00:00
2019-2020,15,CADETE,PRIMERA DIVISION AUTONOMICA CADETE,False,PRIMERA DIVISION AUTONOMICA,PRIMERA DIVISION AUTONOMICA CADETE,10723310,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=15&tipojuego=1,2026-08-05T01:24:54.039503+00:00
2019-2020,15,CADETE,PREFERENTE CADETE,False,PREFERENTE,PREFERENTE CADETE,10723319,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=15&tipojuego=1,2026-08-05T01:24:56.898553+00:00
2019-2020,15,CADETE,PRIMERA CADETE,False,PRIMERA,PRIMERA CADETE,10723320,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=15&tipojuego=1,2026-08-05T01:24:58.168465+00:00
2019-2020,15,CADETE,SEGUNDA CADETE,False,SEGUNDA,SEGUNDA CADETE,10723321,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=15&tipojuego=1,2026-08-05T01:25:03.541744+00:00
