season,season_id,category,competition,competition_id,group,group_id,team,team_id,position,played,wins,draws,losses,goals_for,goals_against,goal_diff,points,sanction_points,source_url,scraped_at
2019-2020,15,OTHER,COPA R.F.F.M. - 3ª DIVISION,10667458,Grupo 1,10667459,C.D. MOSTOLES U.R.J.C. 'A',2127,1,3,3,0,0,7,2,5,9,0,https://www.rffm.es/competicion/clasificaciones?temporada=15&competicion=10667458&grupo=10667459&tipojuego=1,2026-08-05T01:23:58.171532+00:00
2019-2020,15,OTHER,COPA R.F.F.M. - 3ª DIVISION,10667458,Grupo 1,10667459,ATLETICO DE PINTO,162,2,3,1,1,1,6,4,2,4,0,https://www.rffm.es/competicion/clasificaciones?temporada=15&competicion=10667458&grupo=10667459&tipojuego=1,2026-08-05T01:23:58.171532+00:00
2019-2020,15,OTHER,COPA R.F.F.M. - 3ª DIVISION,10667458,Grupo 1,10667459,C.F. TRIVAL VALDERAS ALCORCON,1563,3,3,1,1,1,6,4,2,4,0,https://www.rffm.es/competicion/clasificaciones?temporada=15&competicion=10667458&grupo=10667459&tipojuego=1,2026-08-05T01:23:58.171532+00:00
2019-2020,15,OTHER,COPA R.F.F.M. - 3ª DIVISION,10667458,Grupo 1,10667459,FUTBOL ALCOBENDAS SPORT,2002,4,3,0,0,3,0,9,-9,-3,3,https://www.rffm.es/competicion/clasificaciones?temporada=15&competicion=10667458&grupo=10667459&tipojuego=1,2026-08-05T01:23:58.171532+00:00
2019-2020,15,OTHER,COPA R.F.F.M. - 3ª DIVISION,10667458,Grupo 2,10667460,RAYO VALLECANO DE MADRID 'B',58,1,3,3,0,0,5,2,3,9,0,https://www.rffm.es/competicion/clasificaciones?temporada=15&competicion=10667458&grupo=10667460&tipojuego=1,2026-08-05T01:23:57.685793+00:00
2019-2020,15,OTHER,COPA R.F.F.M. - 3ª DIVISION,10667458,Grupo 2,10667460,C.D. LEGANES S.A.D. 'B',94,2,3,1,1,1,3,2,1,4,0,https://www.rffm.es/competicion/clasificaciones?temporada=15&competicion=10667458&grupo=10667460&tipojuego=1,2026-08-05T01:23:57.685793+00:00
2019-2020,15,OTHER,COPA R.F.F.M. - 3ª DIVISION,10667458,Grupo 2,10667460,S.A.D. VILLAVERDE SAN ANDRES 'A',6826481,3,3,0,2,1,3,4,-1,2,0,https://www.rffm.es/competicion/clasificaciones?temporada=15&competicion=10667458&grupo=10667460&tipojuego=1,2026-08-05T01:23:57.685793+00:00
2019-2020,15,OTHER,COPA R.F.F.M. - 3ª DIVISION,10667458,Grupo 2,10667460,C.D. SAN FERNANDO,119,4,3,0,1,2,2,5,-3,1,0,https://www.rffm.es/competicion/clasificaciones?temporada=15&competicion=10667458&grupo=10667460&tipojuego=1,2026-08-05T01:23:57.685793+00:00
2019-2020,15,OTHER,TERCERA DIVISION NACIONAL,10723208,Grupo 7,10749973,C.D.A. NAVALCARNERO,366,1,28,16,5,7,44,22,22,53,0,https://www.rffm.es/competicion/clasificaciones?temporada=15&competicion=10723208&grupo=10749973&tipojuego=1,2026-08-05T01:24:08.573933+00:00
2019-2020,15,OTHER,TERCERA DIVISION NACIONAL,10723208,Grupo 7,10749973,A.D. UNION ADARVE 'A',1592,2,28,14,5,9,43,35,8,47,0,https://www.rffm.es/competicion/clasificaciones?temporada=15&competicion=10723208&grupo=10749973&tipojuego=1,2026-08-05T01:24:08.573933+00:00
2019-2020,15,OTHER,TERCERA DIVISION NACIONAL,10723208,Grupo 7,10749973,A.D. ALCORCON S.A.D. 'B',280,3,28,12,11,5,40,26,14,47,0,https://www.rffm.es/competicion/clasificaciones?temporada=15&competicion=10723208&grupo=10749973&tipojuego=1,2026-08-05T01:24:08.573933+00:00
