season,competition_id,group_id,team_id,player_name,goals,source_url,scraped_at
2019-2020,10667458,10667459,1563,"ESPARZA CANO, JAVIER",2,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10667458&grupo=10667459&tipojuego=1,2026-08-05T01:23:58.172104+00:00
2019-2020,10667458,10667459,2127,"PORTILLA SUAREZ, ALVARO",2,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10667458&grupo=10667459&tipojuego=1,2026-08-05T01:23:58.172104+00:00
2019-2020,10667458,10667459,162,"VIAFARA BALANTA, JHOAN STIVEN",2,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10667458&grupo=10667459&tipojuego=1,2026-08-05T01:23:58.172104+00:00
2019-2020,10667458,10667459,2127,"ASENSIO PUENTES, AITOR DAVID",2,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10667458&grupo=10667459&tipojuego=1,2026-08-05T01:23:58.172104+00:00
2019-2020,10667458,10667459,1563,"DEL POZO AZUARA, JUAN JOSÉ",1,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10667458&grupo=10667459&tipojuego=1,2026-08-05T01:23:58.172104+00:00
2019-2020,10667458,10667459,162,"ANDRES HUESCAR, ALFONSO",1,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10667458&grupo=10667459&tipojuego=1,2026-08-05T01:23:58.172104+00:00
2019-2020,10667458,10667459,162,"MUÑOZ NAVAS, ALEJANDRO",1,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10667458&grupo=10667459&tipojuego=1,2026-08-05T01:23:58.172104+00:00
2019-2020,10667458,10667459,2127,"SALMERON SUAREZ, JESUS",1,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10667458&grupo=10667459&tipojuego=1,2026-08-05T01:23:58.172104+00:00
2019-2020,10667458,10667459,2127,"RIVAS VIONDI, MARIO",1,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10667458&grupo=10667459&tipojuego=1,2026-08-05T01:23:58.172104+00:00
2019-2020,10667458,10667459,2127,"RIVAS VIONDI, OSCAR",1,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10667458&grupo=10667459&tipojuego=1,2026-08-05T01:23:58.172104+00:00
2019-2020,10667458,10667459,162,"GIL VICENTE, IVAN",1,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10667458&grupo=10667459&tipojuego=1,2026-08-05T01:23:58.172104+00:00
2019-2020,10667458,10667459,162,"FERNANDEZ JIMENEZ, ALEJANDRO",1,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10667458&grupo=10667459&tipojuego=1,2026-08-05T01:23:58.172104+00:00
2019-2020,10667458,10667460,119,"SANCHEZ FERNANDEZ, VICTOR HUGO",2,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10667458&grupo=10667460&tipojuego=1,2026-08-05T01:23:57.686290+00:00
2019-2020,10667458,10667460,94,"DE CAMARGO MARTINS, WILLIAM",1,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10667458&grupo=10667460&tipojuego=1,2026-08-05T01:23:57.686290+00:00
2019-2020,10667458,10667460,6826481,"GARCÍA FERNÁNDEZ, DANIEL",1,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10667458&grupo=10667460&tipojuego=1,2026-08-05T01:23:57.686290+00:00
2019-2020,10667458,10667460,58,"RUBIO HARO, JAVIER",1,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10667458&grupo=10667460&tipojuego=1,2026-08-05T01:23:57.686290+00:00
2019-2020,10667458,10667460,58,"ECHARRI MARIN, MARC",1,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10667458&grupo=10667460&tipojuego=1,2026-08-05T01:23:57.686290+00:00
2019-2020,10667458,10667460,58,"FARIÑA SIQUOT, IGNACIO JAVIER",1,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10667458&grupo=10667460&tipojuego=1,2026-08-05T01:23:57.686290+00:00
2019-2020,10667458,10667460,94,"SAN CRISTOBAL SANCHEZ, ALEJANDRO",1,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10667458&grupo=10667460&tipojuego=1,2026-08-05T01:23:57.686290+00:00
2019-2020,10667458,10667460,6826481,"RODRIGUEZ DE FREITAS, JUAN ANDRES",1,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10667458&grupo=10667460&tipojuego=1,2026-08-05T01:23:57.686290+00:00
2019-2020,10667458,10667460,94,"HERAS GARCIA, IGNACIO",1,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10667458&grupo=10667460&tipojuego=1,2026-08-05T01:23:57.686290+00:00
2019-2020,10667458,10667460,6826481,"GARCIA CONSUEGRA LOPEZ MENCHERO, ALVARO",1,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10667458&grupo=10667460&tipojuego=1,2026-08-05T01:23:57.686290+00:00
2019-2020,10667458,10667460,58,"MORENO SAN VIDAL, JORGE",1,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10667458&grupo=10667460&tipojuego=1,2026-08-05T01:23:57.686290+00:00
2019-2020,10723181,10834936,2127,"SALMERON SUAREZ, JESUS",1,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10723181&grupo=10834936&tipojuego=1,2026-08-05T01:23:58.160328+00:00
2019-2020,10723208,10749973,162,"FERNANDEZ JIMENEZ, ALEJANDRO",16,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10723208&grupo=10749973&tipojuego=1,2026-08-05T01:24:08.574782+00:00
2019-2020,10723208,10749973,58,"ECHARRI MARIN, MARC",14,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10723208&grupo=10749973&tipojuego=1,2026-08-05T01:24:08.574782+00:00
2019-2020,10723208,10749973,623,"MORA DE COS, CRISTIAN",11,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10723208&grupo=10749973&tipojuego=1,2026-08-05T01:24:08.574782+00:00
2019-2020,10723208,10749973,1592,"MAGANTO PEREZ, IGNACIO",11,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10723208&grupo=10749973&tipojuego=1,2026-08-05T01:24:08.574782+00:00
2019-2020,10723208,10749973,366,"DE MIGUEL ALAMEDA, JESUS",11,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10723208&grupo=10749973&tipojuego=1,2026-08-05T01:24:08.574782+00:00
2019-2020,10723208,10749973,366,"ESNAIDER RUIZ, JUAN",10,https://www.rffm.es/competicion/goleadores?temporada=15&competicion=10723208&grupo=10749973&tipojuego=1,2026-08-05T01:24:08.574782+00:00
