season,season_id,competition_id,group_id,team_id,team,source_url,scraped_at
2019-2020,15,10667458,10667459,2127,C.D. MOSTOLES U.R.J.C. 'A',https://www.rffm.es/competicion/calendario?temporada=15&competicion=10667458&grupo=10667459&jornada=1&tipojuego=1,2026-08-05T01:23:58.172137+00:00
2019-2020,15,10667458,10667459,162,ATLETICO DE PINTO,https://www.rffm.es/competicion/calendario?temporada=15&competicion=10667458&grupo=10667459&jornada=1&tipojuego=1,2026-08-05T01:23:58.172137+00:00
2019-2020,15,10667458,10667459,1563,C.F. TRIVAL VALDERAS ALCORCON,https://www.rffm.es/competicion/calendario?temporada=15&competicion=10667458&grupo=10667459&jornada=1&tipojuego=1,2026-08-05T01:23:58.172137+00:00
2019-2020,15,10667458,10667459,2002,FUTBOL ALCOBENDAS SPORT,https://www.rffm.es/competicion/calendario?temporada=15&competicion=10667458&grupo=10667459&jornada=1&tipojuego=1,2026-08-05T01:23:58.172137+00:00
2019-2020,15,10667458,10667460,58,RAYO VALLECANO DE MADRID 'B',https://www.rffm.es/competicion/calendario?temporada=15&competicion=10667458&grupo=10667460&jornada=1&tipojuego=1,2026-08-05T01:23:57.686314+00:00
2019-2020,15,10667458,10667460,94,C.D. LEGANES S.A.D. 'B',https://www.rffm.es/competicion/calendario?temporada=15&competicion=10667458&grupo=10667460&jornada=1&tipojuego=1,2026-08-05T01:23:57.686314+00:00
2019-2020,15,10667458,10667460,6826481,S.A.D. VILLAVERDE SAN ANDRES 'A',https://www.rffm.es/competicion/calendario?temporada=15&competicion=10667458&grupo=10667460&jornada=1&tipojuego=1,2026-08-05T01:23:57.686314+00:00
2019-2020,15,10667458,10667460,119,C.D. SAN FERNANDO,https://www.rffm.es/competicion/calendario?temporada=15&competicion=10667458&grupo=10667460&jornada=1&tipojuego=1,2026-08-05T01:23:57.686314+00:00
2019-2020,15,10723181,10834936,58,RAYO VALLECANO DE MADRID 'B',https://www.rffm.es/competicion/calendario?temporada=15&competicion=10723181&grupo=10834936&jornada=1&tipojuego=1,2026-08-05T01:23:58.160343+00:00
2019-2020,15,10723181,10834936,2127,C.D. MOSTOLES U.R.J.C. 'A',https://www.rffm.es/competicion/calendario?temporada=15&competicion=10723181&grupo=10834936&jornada=1&tipojuego=1,2026-08-05T01:23:58.160343+00:00
2019-2020,15,12234409,12234410,366,C.D.A. NAVALCARNERO,https://www.rffm.es/competicion/calendario?temporada=15&competicion=12234409&grupo=12234410&jornada=1&tipojuego=1,2026-08-05T01:23:58.174537+00:00
2019-2020,15,12234409,12234410,71,R.S.D. ALCALA S.A.D. 'A',https://www.rffm.es/competicion/calendario?temporada=15&competicion=12234409&grupo=12234410&jornada=1&tipojuego=1,2026-08-05T01:23:58.174537+00:00
2019-2020,15,12234409,12234410,1592,A.D. UNION ADARVE 'A',https://www.rffm.es/competicion/calendario?temporada=15&competicion=12234409&grupo=12234410&jornada=1&tipojuego=1,2026-08-05T01:23:58.174537+00:00
2019-2020,15,12234409,12234410,280,A.D. ALCORCON S.A.D. 'B',https://www.rffm.es/competicion/calendario?temporada=15&competicion=12234409&grupo=12234410&jornada=1&tipojuego=1,2026-08-05T01:23:58.174537+00:00
2019-2020,15,12234409,12234410,-20000,Equipo Casa (No asignado),https://www.rffm.es/competicion/calendario?temporada=15&competicion=12234409&grupo=12234410&jornada=1&tipojuego=1,2026-08-05T01:23:58.174537+00:00
2019-2020,15,12234409,12234410,-40000,Equipo Fuera (No asignado),https://www.rffm.es/competicion/calendario?temporada=15&competicion=12234409&grupo=12234410&jornada=1&tipojuego=1,2026-08-05T01:23:58.174537+00:00
2019-2020,15,10723208,10749973,94,C.D. LEGANES S.A.D. 'B',https://www.rffm.es/competicion/calendario?temporada=15&competicion=10723208&grupo=10749973&jornada=1&tipojuego=1,2026-08-05T01:24:08.575005+00:00
2019-2020,15,10723208,10749973,623,ESCUELA DEP.MORATALAZ 'A',https://www.rffm.es/competicion/calendario?temporada=15&competicion=10723208&grupo=10749973&jornada=1&tipojuego=1,2026-08-05T01:24:08.575005+00:00
2019-2020,15,10723208,10749973,2002,FUTBOL ALCOBENDAS SPORT,https://www.rffm.es/competicion/calendario?temporada=15&competicion=10723208&grupo=10749973&jornada=1&tipojuego=1,2026-08-05T01:24:08.575005+00:00
2019-2020,15,10723208,10749973,280,A.D. ALCORCON S.A.D. 'B',https://www.rffm.es/competicion/calendario?temporada=15&competicion=10723208&grupo=10749973&jornada=1&tipojuego=1,2026-08-05T01:24:08.575005+00:00
2019-2020,15,10723208,10749973,46,REAL C.D. CARABANCHEL 'A',https://www.rffm.es/competicion/calendario?temporada=15&competicion=10723208&grupo=10749973&jornada=1&tipojuego=1,2026-08-05T01:24:08.575005+00:00
2019-2020,15,10723208,10749973,4950039,FLAT EARTH F.C.,https://www.rffm.es/competicion/calendario?temporada=15&competicion=10723208&grupo=10749973&jornada=1&tipojuego=1,2026-08-05T01:24:08.575005+00:00
2019-2020,15,10723208,10749973,1563,C.F. TRIVAL VALDERAS ALCORCON,https://www.rffm.es/competicion/calendario?temporada=15&competicion=10723208&grupo=10749973&jornada=1&tipojuego=1,2026-08-05T01:24:08.575005+00:00
2019-2020,15,10723208,10749973,119,C.D. SAN FERNANDO,https://www.rffm.es/competicion/calendario?temporada=15&competicion=10723208&grupo=10749973&jornada=1&tipojuego=1,2026-08-05T01:24:08.575005+00:00
