season,season_id,competition_id,group_id,team_id,team,source_url,scraped_at
2024-2025,20,21661439,21661467,-21789350,Equipo Casa (No asignado),https://www.rffm.es/competicion/calendario?temporada=20&competicion=21661439&grupo=21661467&jornada=1&tipojuego=1,2026-08-02T22:38:17.390753+00:00
2024-2025,20,21661439,21661467,479,C.D. CANILLAS 'A',https://www.rffm.es/competicion/calendario?temporada=20&competicion=21661439&grupo=21661467&jornada=1&tipojuego=1,2026-08-02T22:38:17.390753+00:00
2024-2025,20,21661439,21661467,2027,C.D. FUTBOL TRES CANTOS 'A',https://www.rffm.es/competicion/calendario?temporada=20&competicion=21661439&grupo=21661467&jornada=1&tipojuego=1,2026-08-02T22:38:17.390753+00:00
2024-2025,20,21661439,21661467,293,LAS ROZAS C.F. 'A',https://www.rffm.es/competicion/calendario?temporada=20&competicion=21661439&grupo=21661467&jornada=1&tipojuego=1,2026-08-02T22:38:17.390753+00:00
2024-2025,20,21661439,21661468,2172,C.F. FUENLABRADA S.A.D. 'A',https://www.rffm.es/competicion/calendario?temporada=20&competicion=21661439&grupo=21661468&jornada=1&tipojuego=1,2026-08-02T22:38:18.486124+00:00
2024-2025,20,21661439,21661468,2363,A.D. TORREJON C.F. 'A',https://www.rffm.es/competicion/calendario?temporada=20&competicion=21661439&grupo=21661468&jornada=1&tipojuego=1,2026-08-02T22:38:18.486124+00:00
2024-2025,20,21661439,21661468,366,C.D.A. NAVALCARNERO 'A',https://www.rffm.es/competicion/calendario?temporada=20&competicion=21661439&grupo=21661468&jornada=1&tipojuego=1,2026-08-02T22:38:18.486124+00:00
2024-2025,20,21911601,21911664,293,LAS ROZAS C.F. 'A',https://www.rffm.es/competicion/calendario?temporada=20&competicion=21911601&grupo=21911664&jornada=1&tipojuego=1,2026-08-02T22:38:18.408006+00:00
2024-2025,20,21911601,21911664,2172,C.F. FUENLABRADA S.A.D. 'A',https://www.rffm.es/competicion/calendario?temporada=20&competicion=21911601&grupo=21911664&jornada=1&tipojuego=1,2026-08-02T22:38:18.408006+00:00
2024-2025,20,23970451,23970549,438,C.D. GALAPAGAR 'A',https://www.rffm.es/competicion/calendario?temporada=20&competicion=23970451&grupo=23970549&jornada=1&tipojuego=1,2026-08-02T22:38:20.512216+00:00
2024-2025,20,23970451,23970549,58,RAYO VALLECANO DE MADRID S.A.D. 'B',https://www.rffm.es/competicion/calendario?temporada=20&competicion=23970451&grupo=23970549&jornada=1&tipojuego=1,2026-08-02T22:38:20.512216+00:00
2024-2025,20,23970451,23970551,6826481,S.A.D. VILLAVERDE SAN ANDRES 'A',https://www.rffm.es/competicion/calendario?temporada=20&competicion=23970451&grupo=23970551&jornada=1&tipojuego=1,2026-08-02T22:38:20.616349+00:00
2024-2025,20,23970451,23970551,2363,A.D. TORREJON C.F. 'A',https://www.rffm.es/competicion/calendario?temporada=20&competicion=23970451&grupo=23970551&jornada=1&tipojuego=1,2026-08-02T22:38:20.616349+00:00
2024-2025,20,23970451,24002825,2363,A.D. TORREJON C.F. 'A',https://www.rffm.es/competicion/calendario?temporada=20&competicion=23970451&grupo=24002825&jornada=1&tipojuego=1,2026-08-02T22:38:19.837041+00:00
2024-2025,20,23970451,24002825,58,RAYO VALLECANO DE MADRID S.A.D. 'B',https://www.rffm.es/competicion/calendario?temporada=20&competicion=23970451&grupo=24002825&jornada=1&tipojuego=1,2026-08-02T22:38:19.837041+00:00
2024-2025,20,21434284,21434285,71,R.S.D. ALCALA S.A.D.,https://www.rffm.es/competicion/calendario?temporada=20&competicion=21434284&grupo=21434285&jornada=1&tipojuego=1,2026-08-02T22:38:24.443978+00:00
