season_id,game_type_id,competition_id,group_id,category_base,category_label_raw,is_femenino,division_level,competition_label_raw,group_label_raw,has_calendario,has_clasificaciones,has_goleadores
14,1,9015896,9035765,OTHER,TERCERA FEDERACION,False,TERCERA FEDERACION,COPA R.F.F.M. 3ª DIVISION,Grupo 1,True,True,True
14,1,9015896,9035766,OTHER,TERCERA FEDERACION,False,TERCERA FEDERACION,COPA R.F.F.M. 3ª DIVISION,Grupo 2,True,True,True
14,1,9052313,9196588,OTHER,TERCERA FEDERACION,False,TERCERA FEDERACION,COPA R.F.F.M. 3ª DIVISION - FINAL,FINAL COPA RFFM 3º DIVISION,True,True,True
14,1,9320124,9320328,OTHER,TERCERA FEDERACION,False,TERCERA FEDERACION,COPA REAL FEDERACION ESPAÑOLA DE FUTBOL,Grupo Unico,True,True,True
14,1,8985665,9069497,OTHER,TERCERA FEDERACION,False,TERCERA FEDERACION,TERCERA DIVISION NACIONAL,Grupo 7,True,True,True
14,1,9031100,9181249,AFICIONADO,PRIMERA DIVISION AUTONOMICA AFICIONADO,False,PRIMERA DIVISION AUTONOMICA,CATEGORIA PREFERENTE,GRUPO 1,True,True,True
14,1,9031100,9181258,AFICIONADO,PRIMERA DIVISION AUTONOMICA AFICIONADO,False,PRIMERA DIVISION AUTONOMICA,CATEGORIA PREFERENTE,GRUPO 2,True,True,True
14,1,10660017,10660018,AFICIONADO,PRIMERA DIVISION AUTONOMICA AFICIONADO,False,PRIMERA DIVISION AUTONOMICA,TORNEO DE CAMPEONES - CATEGORIA PREFERENTE DE AFICIONADOS (FINAL),Final,True,True,True
14,1,9031101,9181281,AFICIONADO,PREFERENTE AFICIONADO,False,PREFERENTE,PRIMERA DE AFICIONADOS,GRUPO 1,True,True,True
14,1,9031101,9181306,AFICIONADO,PREFERENTE AFICIONADO,False,PREFERENTE,PRIMERA DE AFICIONADOS,GRUPO 2,True,True,True
14,1,9031101,9181368,AFICIONADO,PREFERENTE AFICIONADO,False,PREFERENTE,PRIMERA DE AFICIONADOS,GRUPO 3,True,True,True
14,1,9031101,9181404,AFICIONADO,PREFERENTE AFICIONADO,False,PREFERENTE,PRIMERA DE AFICIONADOS,GRUPO 4,True,True,True
14,1,9031102,9188161,AFICIONADO,PRIMERA AFICIONADO,False,PRIMERA,SEGUNDA DE AFICIONADOS,GRUPO 1,True,True,True
14,1,9031102,9188192,AFICIONADO,PRIMERA AFICIONADO,False,PRIMERA,SEGUNDA DE AFICIONADOS,GRUPO 2,True,True,True
14,1,9031102,9188219,AFICIONADO,PRIMERA AFICIONADO,False,PRIMERA,SEGUNDA DE AFICIONADOS,GRUPO 3,True,True,True
14,1,9031102,9188227,AFICIONADO,PRIMERA AFICIONADO,False,PRIMERA,SEGUNDA DE AFICIONADOS,GRUPO 4,True,True,True
14,1,9031102,9188236,AFICIONADO,PRIMERA AFICIONADO,False,PRIMERA,SEGUNDA DE AFICIONADOS,GRUPO 5,True,True,True
14,1,9031102,9188246,AFICIONADO,PRIMERA AFICIONADO,False,PRIMERA,SEGUNDA DE AFICIONADOS,GRUPO 6,True,True,True
14,1,9031102,9188257,AFICIONADO,PRIMERA AFICIONADO,False,PRIMERA,SEGUNDA DE AFICIONADOS,GRUPO 7,True,True,True
14,1,9031102,9188265,AFICIONADO,PRIMERA AFICIONADO,False,PRIMERA,SEGUNDA DE AFICIONADOS,GRUPO 8,True,True,True
14,1,9031103,9206063,AFICIONADO,SEGUNDA AFICIONADO,False,SEGUNDA,TERCERA DE AFICIONADOS,GRUPO 1,True,True,True
14,1,9031103,9206073,AFICIONADO,SEGUNDA AFICIONADO,False,SEGUNDA,TERCERA DE AFICIONADOS,GRUPO 2,True,True,True
14,1,9031103,9206090,AFICIONADO,SEGUNDA AFICIONADO,False,SEGUNDA,TERCERA DE AFICIONADOS,GRUPO 3,True,True,True
