season,season_id,category,competition,competition_id,group,group_id,team,team_id,position,played,wins,draws,losses,goals_for,goals_against,goal_diff,points,sanction_points,source_url,scraped_at
2018-2019,14,OTHER,COPA R.F.F.M. 3ª DIVISION,9015896,Grupo 1,9035765,RAYO VALLECANO DE MADRID 'B',58,1,3,3,0,0,5,0,5,9,0,https://www.rffm.es/competicion/clasificaciones?temporada=14&competicion=9015896&grupo=9035765&tipojuego=1,2026-08-05T01:33:47.411318+00:00
2018-2019,14,OTHER,COPA R.F.F.M. 3ª DIVISION,9015896,Grupo 1,9035765,GETAFE C.F. S.A.D. 'B',561,2,3,1,0,2,2,2,0,3,0,https://www.rffm.es/competicion/clasificaciones?temporada=14&competicion=9015896&grupo=9035765&tipojuego=1,2026-08-05T01:33:47.411318+00:00
2018-2019,14,OTHER,COPA R.F.F.M. 3ª DIVISION,9015896,Grupo 1,9035765,R.S.D. ALCALA S.A.D. 'A',71,3,3,1,0,2,4,5,-1,3,0,https://www.rffm.es/competicion/clasificaciones?temporada=14&competicion=9015896&grupo=9035765&tipojuego=1,2026-08-05T01:33:47.411318+00:00
2018-2019,14,OTHER,COPA R.F.F.M. 3ª DIVISION,9015896,Grupo 1,9035765,C.D. SAN FERNANDO,119,4,3,1,0,2,1,5,-4,3,0,https://www.rffm.es/competicion/clasificaciones?temporada=14&competicion=9015896&grupo=9035765&tipojuego=1,2026-08-05T01:33:47.411318+00:00
2018-2019,14,OTHER,COPA R.F.F.M. 3ª DIVISION,9015896,Grupo 2,9035766,A.D. ALCORCON S.A.D. 'B',280,1,3,2,1,0,5,3,2,7,0,https://www.rffm.es/competicion/clasificaciones?temporada=14&competicion=9015896&grupo=9035766&tipojuego=1,2026-08-05T01:33:49.073095+00:00
2018-2019,14,OTHER,COPA R.F.F.M. 3ª DIVISION,9015896,Grupo 2,9035766,FUTBOL ALCOBENDAS SPORT 'A',2002,2,3,2,1,0,3,1,2,7,0,https://www.rffm.es/competicion/clasificaciones?temporada=14&competicion=9015896&grupo=9035766&tipojuego=1,2026-08-05T01:33:49.073095+00:00
2018-2019,14,OTHER,COPA R.F.F.M. 3ª DIVISION,9015896,Grupo 2,9035766,C.D. MOSTOLES U.R.J.C. 'A',2127,3,3,1,0,2,3,4,-1,3,0,https://www.rffm.es/competicion/clasificaciones?temporada=14&competicion=9015896&grupo=9035766&tipojuego=1,2026-08-05T01:33:49.073095+00:00
2018-2019,14,OTHER,COPA R.F.F.M. 3ª DIVISION,9015896,Grupo 2,9035766,C.F. POZUELO DE ALARCON 'A',1873,4,3,0,0,3,2,5,-3,0,0,https://www.rffm.es/competicion/clasificaciones?temporada=14&competicion=9015896&grupo=9035766&tipojuego=1,2026-08-05T01:33:49.073095+00:00
2018-2019,14,OTHER,COPA R.F.F.M. 3ª DIVISION - FINAL,9052313,FINAL COPA RFFM 3º DIVISION,9196588,A.D. ALCORCON S.A.D. 'B',280,1,1,0,1,0,1,1,0,1,0,https://www.rffm.es/competicion/clasificaciones?temporada=14&competicion=9052313&grupo=9196588&tipojuego=1,2026-08-05T01:33:47.350130+00:00
2018-2019,14,OTHER,COPA R.F.F.M. 3ª DIVISION - FINAL,9052313,FINAL COPA RFFM 3º DIVISION,9196588,RAYO VALLECANO DE MADRID 'B',58,2,1,0,1,0,1,1,0,1,0,https://www.rffm.es/competicion/clasificaciones?temporada=14&competicion=9052313&grupo=9196588&tipojuego=1,2026-08-05T01:33:47.350130+00:00
2018-2019,14,OTHER,COPA REAL FEDERACION ESPAÑOLA DE FUTBOL,9320124,Grupo Unico,9320328,FUTBOL ALCOBENDAS SPORT 'A',2002,1,2,1,1,0,6,4,2,4,0,https://www.rffm.es/competicion/clasificaciones?temporada=14&competicion=9320124&grupo=9320328&tipojuego=1,2026-08-05T01:33:49.062503+00:00
2018-2019,14,OTHER,COPA REAL FEDERACION ESPAÑOLA DE FUTBOL,9320124,Grupo Unico,9320328,U.D. SAN SEBASTIAN REYES 'A',407,2,2,1,1,0,5,4,1,4,0,https://www.rffm.es/competicion/clasificaciones?temporada=14&competicion=9320124&grupo=9320328&tipojuego=1,2026-08-05T01:33:49.062503+00:00
2018-2019,14,OTHER,COPA REAL FEDERACION ESPAÑOLA DE FUTBOL,9320124,Grupo Unico,9320328,C.D. MOSTOLES U.R.J.C. 'A',2127,3,2,0,0,2,2,5,-3,0,0,https://www.rffm.es/competicion/clasificaciones?temporada=14&competicion=9320124&grupo=9320328&tipojuego=1,2026-08-05T01:33:49.062503+00:00
2018-2019,14,OTHER,TERCERA DIVISION NACIONAL,8985665,Grupo 7,9069497,GETAFE C.F. S.A.D. 'B',561,1,38,25,8,5,58,24,34,83,0,https://www.rffm.es/competicion/clasificaciones?temporada=14&competicion=8985665&grupo=9069497&tipojuego=1,2026-08-05T01:33:55.617041+00:00
2018-2019,14,OTHER,TERCERA DIVISION NACIONAL,8985665,Grupo 7,9069497,LAS ROZAS C.F. 'A',293,2,38,24,7,7,69,34,35,79,0,https://www.rffm.es/competicion/clasificaciones?temporada=14&competicion=8985665&grupo=9069497&tipojuego=1,2026-08-05T01:33:55.617041+00:00
