season,competition_id,group_id,team_id,player_name,goals,source_url,scraped_at
2022-2023,17080551,17080638,2127,"PORTILLA SUAREZ, ALVARO",1,https://www.rffm.es/competicion/goleadores?temporada=18&competicion=17080551&grupo=17080638&tipojuego=1,2026-08-05T00:47:23.912529+00:00
2022-2023,17080551,17080638,2127,"SALMERON SUAREZ, JESUS",1,https://www.rffm.es/competicion/goleadores?temporada=18&competicion=17080551&grupo=17080638&tipojuego=1,2026-08-05T00:47:23.912529+00:00
2022-2023,17080551,17080638,650,"APARICIO GARCIA, ESTEBAN",1,https://www.rffm.es/competicion/goleadores?temporada=18&competicion=17080551&grupo=17080638&tipojuego=1,2026-08-05T00:47:23.912529+00:00
2022-2023,17080551,17080655,561,"KEITA KEITA, ABDOULAYE",1,https://www.rffm.es/competicion/goleadores?temporada=18&competicion=17080551&grupo=17080655&tipojuego=1,2026-08-05T00:47:23.898632+00:00
2022-2023,17080551,17080655,2002,"CLAVERIAS GUTIERREZ, ALEJANDRO",1,https://www.rffm.es/competicion/goleadores?temporada=18&competicion=17080551&grupo=17080655&tipojuego=1,2026-08-05T00:47:23.898632+00:00
2022-2023,17080551,17080655,561,"LOPEZ DE HARO REPULLO, DIEGO",1,https://www.rffm.es/competicion/goleadores?temporada=18&competicion=17080551&grupo=17080655&tipojuego=1,2026-08-05T00:47:23.898632+00:00
2022-2023,17080551,17080655,2002,"ANDERSON ADEDEJI, MARKUS ADENIYI",1,https://www.rffm.es/competicion/goleadores?temporada=18&competicion=17080551&grupo=17080655&tipojuego=1,2026-08-05T00:47:23.898632+00:00
2022-2023,17080551,17080677,650,"APARICIO GARCIA, ESTEBAN",3,https://www.rffm.es/competicion/goleadores?temporada=18&competicion=17080551&grupo=17080677&tipojuego=1,2026-08-05T00:47:23.739348+00:00
2022-2023,17080551,17080684,2002,"RODRIGUEZ JORDAO, PAULO HENRIQUE",1,https://www.rffm.es/competicion/goleadores?temporada=18&competicion=17080551&grupo=17080684&tipojuego=1,2026-08-05T00:47:23.748389+00:00
2022-2023,17080551,17080684,561,"KEITA KEITA, ABDOULAYE",1,https://www.rffm.es/competicion/goleadores?temporada=18&competicion=17080551&grupo=17080684&tipojuego=1,2026-08-05T00:47:23.748389+00:00
2022-2023,17080551,17096815,561,"GOMEZ DIAZ, CESAR",1,https://www.rffm.es/competicion/goleadores?temporada=18&competicion=17080551&grupo=17096815&tipojuego=1,2026-08-05T00:47:23.571930+00:00
2022-2023,17080551,17096817,561,"GARCIA GONZALEZ, SANTIAGO",1,https://www.rffm.es/competicion/goleadores?temporada=18&competicion=17080551&grupo=17096817&tipojuego=1,2026-08-05T00:47:23.907501+00:00
2022-2023,17080551,17096817,650,"JORGE JIMENEZ, JEREMY JOSE",1,https://www.rffm.es/competicion/goleadores?temporada=18&competicion=17080551&grupo=17096817&tipojuego=1,2026-08-05T00:47:23.907501+00:00
2022-2023,17129186,17129187,85,"PACHECO PEREZ, ESTEBAN",2,https://www.rffm.es/competicion/goleadores?temporada=18&competicion=17129186&grupo=17129187&tipojuego=1,2026-08-05T00:47:26.844002+00:00
2022-2023,17129186,17129187,2027,"LOPEZ HERNANDO, SERGIO",1,https://www.rffm.es/competicion/goleadores?temporada=18&competicion=17129186&grupo=17129187&tipojuego=1,2026-08-05T00:47:26.844002+00:00
2022-2023,15310366,15467872,162,"ORTEGA PONCE, FERNANDO",2,https://www.rffm.es/competicion/goleadores?temporada=18&competicion=15310366&grupo=15467872&tipojuego=1,2026-08-05T00:47:26.401974+00:00
2022-2023,15310366,15467872,162,"GOMEZ DE FIGUEROA PONTIGA, ANTONIO",2,https://www.rffm.es/competicion/goleadores?temporada=18&competicion=15310366&grupo=15467872&tipojuego=1,2026-08-05T00:47:26.401974+00:00
2022-2023,15310366,15467872,193,"LEÓN DELGADO, GUILLERMO",1,https://www.rffm.es/competicion/goleadores?temporada=18&competicion=15310366&grupo=15467872&tipojuego=1,2026-08-05T00:47:26.401974+00:00
2022-2023,15310366,15467872,1532,"VERDEJA TERRON, TOMAS",1,https://www.rffm.es/competicion/goleadores?temporada=18&competicion=15310366&grupo=15467872&tipojuego=1,2026-08-05T00:47:26.401974+00:00
2022-2023,15310366,15467872,1532,"RUA JIMENEZ, HECTOR",1,https://www.rffm.es/competicion/goleadores?temporada=18&competicion=15310366&grupo=15467872&tipojuego=1,2026-08-05T00:47:26.401974+00:00
2022-2023,15310366,15467872,193,"ROLDAN CANO, DIEGO",1,https://www.rffm.es/competicion/goleadores?temporada=18&competicion=15310366&grupo=15467872&tipojuego=1,2026-08-05T00:47:26.401974+00:00
2022-2023,15310366,15467872,1532,"MARTINEZ GARCIA, JORGE",1,https://www.rffm.es/competicion/goleadores?temporada=18&competicion=15310366&grupo=15467872&tipojuego=1,2026-08-05T00:47:26.401974+00:00
