player_id,season,season_id,called_up,starter_appearances,substitute_appearances,matches_played,goals_total,goals_per_match,yellow_cards,red_cards,second_yellow_cards,is_goalkeeper,jersey_number,source_url,scraped_at
10258883,2022-2023,18,22,3,19,22,0,0.0,0,0,0,False,12,https://www.rffm.es/fichajugador/10258883?temporada=18,2026-08-07T08:33:22.258667+00:00
10259757,2022-2023,18,17,1,16,15,2,0.1,0,0,0,False,20,https://www.rffm.es/fichajugador/10259757?temporada=18,2026-08-07T08:33:22.297564+00:00
102603,2022-2023,18,3,0,3,3,0,0.0,0,0,0,False,10,https://www.rffm.es/fichajugador/102603?temporada=18,2026-08-07T08:33:22.684310+00:00
10261638,2022-2023,18,18,2,16,18,1,0.1,0,0,0,False,3,https://www.rffm.es/fichajugador/10261638?temporada=18,2026-08-07T08:33:23.225365+00:00
10261655,2022-2023,18,18,3,15,18,0,0.0,0,0,0,False,20,https://www.rffm.es/fichajugador/10261655?temporada=18,2026-08-07T08:33:23.258363+00:00
10260601,2022-2023,18,25,25,0,25,7,0.3,0,0,0,False,32,https://www.rffm.es/fichajugador/10260601?temporada=18,2026-08-07T08:33:23.368457+00:00
10260663,2022-2023,18,25,18,7,25,8,0.3,0,0,0,False,7,https://www.rffm.es/fichajugador/10260663?temporada=18,2026-08-07T08:33:23.403630+00:00
10261740,2022-2023,18,22,19,3,22,0,0.0,3,0,0,False,15,https://www.rffm.es/fichajugador/10261740?temporada=18,2026-08-07T08:33:23.593510+00:00
102618,2022-2023,18,15,14,1,15,0,0.0,1,0,0,False,3,https://www.rffm.es/fichajugador/102618?temporada=18,2026-08-07T08:33:23.598458+00:00
10261896,2022-2023,18,18,18,0,18,15,0.8,0,0,0,False,9,https://www.rffm.es/fichajugador/10261896?temporada=18,2026-08-07T08:33:23.602683+00:00
10262502,2022-2023,18,15,3,12,14,0,0.0,4,0,0,False,43,https://www.rffm.es/fichajugador/10262502?temporada=18,2026-08-07T08:33:23.955428+00:00
10262570,2022-2023,18,18,18,0,18,7,0.4,0,0,0,False,9,https://www.rffm.es/fichajugador/10262570?temporada=18,2026-08-07T08:33:24.093056+00:00
10261985,2022-2023,18,22,21,1,22,0,0.0,0,0,0,True,13,https://www.rffm.es/fichajugador/10261985?temporada=18,2026-08-07T08:33:24.149267+00:00
10261976,2022-2023,18,16,16,0,16,19,1.2,1,0,0,False,8,https://www.rffm.es/fichajugador/10261976?temporada=18,2026-08-07T08:33:24.372742+00:00
