season,season_id,competition_id,group_id,team_id,team,source_url,scraped_at
2022-2023,18,15567824,15567850,71,R.S.D. ALCALA S.A.D.,https://www.rffm.es/competicion/calendario?temporada=18&competicion=15567824&grupo=15567850&jornada=1&tipojuego=1,2026-08-05T00:47:22.748348+00:00
2022-2023,18,15567824,15567850,300607,C.D.E. URSARIA,https://www.rffm.es/competicion/calendario?temporada=18&competicion=15567824&grupo=15567850&jornada=1&tipojuego=1,2026-08-05T00:47:22.748348+00:00
2022-2023,18,17080551,17080638,2127,C.D. MOSTOLES U.R.J.C. 'A',https://www.rffm.es/competicion/calendario?temporada=18&competicion=17080551&grupo=17080638&jornada=1&tipojuego=1,2026-08-05T00:47:23.912544+00:00
2022-2023,18,17080551,17080638,650,RSC INTERNATIONAL F.C.,https://www.rffm.es/competicion/calendario?temporada=18&competicion=17080551&grupo=17080638&jornada=1&tipojuego=1,2026-08-05T00:47:23.912544+00:00
2022-2023,18,17080551,17080655,2002,C.D.B. PARACUELLOS ANTAMIRA - MAJADAHONDA 'A',https://www.rffm.es/competicion/calendario?temporada=18&competicion=17080551&grupo=17080655&jornada=1&tipojuego=1,2026-08-05T00:47:23.898674+00:00
2022-2023,18,17080551,17080655,561,GETAFE C.F. S.A.D. 'B',https://www.rffm.es/competicion/calendario?temporada=18&competicion=17080551&grupo=17080655&jornada=1&tipojuego=1,2026-08-05T00:47:23.898674+00:00
2022-2023,18,17080551,17080677,650,RSC INTERNATIONAL F.C.,https://www.rffm.es/competicion/calendario?temporada=18&competicion=17080551&grupo=17080677&jornada=1&tipojuego=1,2026-08-05T00:47:23.739369+00:00
2022-2023,18,17080551,17080677,2127,C.D. MOSTOLES U.R.J.C. 'A',https://www.rffm.es/competicion/calendario?temporada=18&competicion=17080551&grupo=17080677&jornada=1&tipojuego=1,2026-08-05T00:47:23.739369+00:00
2022-2023,18,17080551,17080684,561,GETAFE C.F. S.A.D. 'B',https://www.rffm.es/competicion/calendario?temporada=18&competicion=17080551&grupo=17080684&jornada=1&tipojuego=1,2026-08-05T00:47:23.748403+00:00
2022-2023,18,17080551,17080684,2002,C.D.B. PARACUELLOS ANTAMIRA - MAJADAHONDA 'A',https://www.rffm.es/competicion/calendario?temporada=18&competicion=17080551&grupo=17080684&jornada=1&tipojuego=1,2026-08-05T00:47:23.748403+00:00
2022-2023,18,17080551,17096815,561,GETAFE C.F. S.A.D. 'B',https://www.rffm.es/competicion/calendario?temporada=18&competicion=17080551&grupo=17096815&jornada=1&tipojuego=1,2026-08-05T00:47:23.571952+00:00
2022-2023,18,17080551,17096815,650,RSC INTERNATIONAL F.C.,https://www.rffm.es/competicion/calendario?temporada=18&competicion=17080551&grupo=17096815&jornada=1&tipojuego=1,2026-08-05T00:47:23.571952+00:00
2022-2023,18,17080551,17096817,650,RSC INTERNATIONAL F.C.,https://www.rffm.es/competicion/calendario?temporada=18&competicion=17080551&grupo=17096817&jornada=1&tipojuego=1,2026-08-05T00:47:23.907523+00:00
2022-2023,18,17080551,17096817,561,GETAFE C.F. S.A.D. 'B',https://www.rffm.es/competicion/calendario?temporada=18&competicion=17080551&grupo=17096817&jornada=1&tipojuego=1,2026-08-05T00:47:23.907523+00:00
2022-2023,18,15310343,15337097,650,RSC INTERNATIONAL F.C.,https://www.rffm.es/competicion/calendario?temporada=18&competicion=15310343&grupo=15337097&jornada=1&tipojuego=1,2026-08-05T00:47:29.898485+00:00
2022-2023,18,15310343,15337097,4950039,C.D.E. MADRID 2021 'A',https://www.rffm.es/competicion/calendario?temporada=18&competicion=15310343&grupo=15337097&jornada=1&tipojuego=1,2026-08-05T00:47:29.898485+00:00
2022-2023,18,15310343,15337097,2363,A.D. TORREJON C.F. 'A',https://www.rffm.es/competicion/calendario?temporada=18&competicion=15310343&grupo=15337097&jornada=1&tipojuego=1,2026-08-05T00:47:29.898485+00:00
2022-2023,18,15310343,15337097,71,R.S.D. ALCALA S.A.D.,https://www.rffm.es/competicion/calendario?temporada=18&competicion=15310343&grupo=15337097&jornada=1&tipojuego=1,2026-08-05T00:47:29.898485+00:00
2022-2023,18,15310343,15337097,1619,CLUB UNION COLLADO VILLALBA 'A',https://www.rffm.es/competicion/calendario?temporada=18&competicion=15310343&grupo=15337097&jornada=1&tipojuego=1,2026-08-05T00:47:29.898485+00:00
2022-2023,18,15310343,15337097,438,C.D. GALAPAGAR 'A',https://www.rffm.es/competicion/calendario?temporada=18&competicion=15310343&grupo=15337097&jornada=1&tipojuego=1,2026-08-05T00:47:29.898485+00:00
2022-2023,18,15310343,15337097,479,C.D. CANILLAS 'A',https://www.rffm.es/competicion/calendario?temporada=18&competicion=15310343&grupo=15337097&jornada=1&tipojuego=1,2026-08-05T00:47:29.898485+00:00
2022-2023,18,15310343,15337097,58,RAYO VALLECANO DE MADRID 'B',https://www.rffm.es/competicion/calendario?temporada=18&competicion=15310343&grupo=15337097&jornada=1&tipojuego=1,2026-08-05T00:47:29.898485+00:00
2022-2023,18,15310343,15337097,561,GETAFE C.F. S.A.D. 'B',https://www.rffm.es/competicion/calendario?temporada=18&competicion=15310343&grupo=15337097&jornada=1&tipojuego=1,2026-08-05T00:47:29.898485+00:00
2022-2023,18,15310343,15337097,117,REAL ARANJUEZ C.F.,https://www.rffm.es/competicion/calendario?temporada=18&competicion=15310343&grupo=15337097&jornada=1&tipojuego=1,2026-08-05T00:47:29.898485+00:00
