match_id,team_id,player_id,minute,minute_raw,card_type_raw,card_type_label,is_second_yellow
5403000,491,16212609,999,999,101,roja,False
5403015,1774,22326778,50,50,100,amarilla,False
5403015,1774,4811833,999,999,100,amarilla,False
5403025,3096323,11472281,32,32,100,amarilla,False
5403060,449,25469693,45,45,100,amarilla,False
5403093,1774,22326778,30,30,101,roja,False
5403099,491,20576817,46,46,100,amarilla,False
5403099,491,20576817,47,47,100,amarilla,True
5403105,2667,20644390,35,35,100,amarilla,False
5520243,1698,11940165,24,24,101,roja,False
5520297,13549422,14914654,43,43,100,amarilla,False
5520302,2790,22987409,13,13,100,amarilla,False
5520313,680503,26304913,34,34,100,amarilla,False
5520327,2790,22987409,14,14,100,amarilla,False
5520327,2790,22987409,14,14,100,amarilla,False
5520341,680503,26365613,19,19,100,amarilla,False
5520341,680503,26365613,25,25,100,amarilla,True
5403324,846758,19385064,38,38,100,amarilla,False
5403323,24235775,25582388,15,15,100,amarilla,False
5403327,1031838,14823276,999,999,101,roja,False
5403327,300130,19501286,999,999,101,roja,False
5403379,24235775,25582388,40,40,100,amarilla,False
5403385,846758,19385064,26,26,100,amarilla,False
5403415,846758,24980861,33,33,100,amarilla,False
5403414,24235775,25582388,27,27,100,amarilla,False
5403414,24235775,25582388,50,50,100,amarilla,True
5403411,1031838,14823276,22,22,100,amarilla,False
5403411,1031838,14823276,22,22,101,roja,False
5403411,1031838,25738659,45,45,100,amarilla,False
5403418,300130,19501286,20,20,100,amarilla,False
5403434,55,20527927,41,41,100,amarilla,False
5403440,300130,19501286,36,36,100,amarilla,False
5403463,300130,19501286,40,40,100,amarilla,False
5519860,2712837,25996566,48,48,101,roja,False
5519880,680466,25071695,27,27,100,amarilla,False
5519880,680466,25071695,32,32,101,roja,False
5519888,2712837,25996566,50,50,101,roja,False
5519921,1573,25707668,48,48,100,amarilla,False
5519937,12440268,20898601,38,38,100,amarilla,False
5519936,466966,23533275,32,32,100,amarilla,False
5519943,466966,23533275,46,46,100,amarilla,False
5519943,2712837,26203133,38,38,100,amarilla,False
